"predicate","response"
"big",0.76
"official",0.79
"former",0.44
"electric",0.07
"inside",0.3
"lucky",0.86
"maritime",0.04
"fundamental",0.67
"presidential",0.26
"sudden",0.58
"forceful",0.75
"Australian",0.06
"Christian",0.24
"double",0.13
"naval",0.13
"British",0.13
"global",0.51
"magnetic",0.12
"orthographic",0.12
"prime",0.74
"federal",0.21
"Iraqi",0.03
"wonderful",1
"little",0.16
"fresh",0.46
"live",0.06
"tiny",0.3
"certain",0.87
"related",0.33
"expensive",0.69
"flashy",0.98
"important",0.89
"naval",0.05
"tremendous",0.95
"planetary",0.05
"satisfactory",0.92
"private",0.84
"lazy",0.8
"financial",0.08
"Muslim",0.1
"sweet",0.88
"formal",0.44
"historical",0.07
"long",0.4
"wrong",0.84
"whole",0.14
"physical",0.03
"Israeli",0.08
"close",0.82
"geometric",0.01
"actual",0.24
"parliamentary",0.42
"asymmetrical",0.31
"regional",0.39
"interesting",0.86
"Iranian",0.26
"optical",0.21
"deliberate",0.79
"Sicilian",0.17
"common",0.5
"sudden",0.65
"cuddly",0.66
"formal",0.63
"vegetarian",0.18
"Chinese",0.17
"public",0.44
"temporary",0.61
"international",0.25
"warm",0.77
"foreign",0.54
"Australian",0.17
"cultural",0.51
"Bangladeshi",0.17
"simultaneous",0.33
"lifelong",0.29
"difficult",0.81
"German",0.17
"severe",0.79
"simple",0.84
"desperate",0.76
"spontaneous",0.56
"funny",0.78
"northern",0.81
"Sicilian",0.4
"militant",0.28
"entire",0.7
"gay",0.21
"square",0.48
"northeastern",0.7
"ancient",0.88
"integrated",0.47
"manned",0.41
"tiny",0.75
"female",0
"disgruntled",0.55
"psychological",0.74
"silky",0.25
"Cuban",0.1
"enormous",0.8
"solar",0.15
"irate",0.7
"internal",0.52
"aggressive",0.67
"sweet",0.57
"electrical",0.06
"terrorist",0
"integral",0.66
"plain",0.82
"Malaysian",0.07
"foreign",0.47
"urgent",0.62
"alternative",0.93
"shrill",0.67
"foreign",0.9
"Egyptian",0.92
"global",0.84
"severe",0.85
"fine",0.18
"Muslim",0.9
"proper",0.21
"optical",0.33
"burdensome",0.77
"legal",0.8
"common",0.23
"electrical",0.24
"graphic",0.22
"presidential",0.85
"prime",0.25
"next",0.91
"formal",0.87
"antique",0.83
"fanatic",0.18
"necessary",0.91
"great",0.14
"imminent",0.19
"little",0.87
"yellow",0.88
"electric",0.87
"rude",0.18
"integrated",0.77
"orthographic",0.2
"little",0.31
"deliberate",0.67
"intractable",0.66
"organized",0.15
"coincidental",0.96
"slow",0.15
"social",0.66
"authentic",0.72
"honest",0.81
"square",0.05
"adorable",0.99
"maritime",0.3
"expensive",0.82
"main",0.68
"proper",0.77
"entire",0.63
"plastic",0.15
"simple",0.23
"persistent",0.72
"pleasant",0.9
"excellent",0.82
"legit",0.85
"small",0.63
"polygamous",0.05
"geometric",0.04
"professional",0.41
"potent",0.7
"simultaneous",0.27
"handsome",0.94
"desperate",0.8
"young",0.01
"critical",0.94
"economic",0.23
"vast",0.1
"veritable",0.15
"total",0.12
"northern",0.31
"beautiful",0.96
"wonderful",0.98
"blue",0.03
"entire",0.33
"fantastic",0.84
"severe",0.95
"best",0.95
"related",0.5
"notable",0.83
"desperate",0.89
"American",0.31
"overall",0.11
"fluid",0.42
"Italian",0.01
"commercial",0.17
"fitted",0.48
"qualified",0.97
"recent",0.17
"international",0.11
"fine",0.91
"regional",0.1
"eminent",0.11
"Egyptian",0.15
"coincidental",0.66
"Japanese",0.02
"false",0.67
"numerous",0.15
"integral",0.15
"related",0.76
"deliberate",0.82
"fundamentalist",0.19
"fat",0.94
"foreign",0.15
"popular",0.98
"additional",0.29
"lovely",0.84
"efficient",0.83
"above",0.01
"fabulous",0.96
"wealthy",0.42
"private",0.34
"absolute",0.02
"unique",0.72
"disgusting",0.46
"significant",0.5
"entire",0.02
"ordinary",0.65
"tricky",0.4
"presidential",0.05
"interesting",0.92
"coastal",0.03
"fantastic",0.62
"professional",0.13
"interesting",0.12
"coastal",0.91
"prime",0.38
"unusual",0.25
"loving",0.08
"uninterrupted",0.6
"medical",0.92
"corrupt",0.25
"upcoming",0.72
"private",0.82
"traditional",0.12
"radical",0.87
"American",0.82
"electrical",0.06
"tremendous",0.7
"real",0.5
"scratchy",0.78
"Sicilian",0.67
"covert",0.14
"next",0.16
"preposterous",0.41
"additional",0.19
"cortical",0.23
"negative",0.75
"simple",0.74
"select",0.15
"polygamous",0.86
"commercial",0.44
"simultaneous",0.69
"right",0.67
"male",0
"wealthy",0.31
"special",1
"Japanese",0
"disgruntled",0.61
"tall",0.7
"double",0.16
"positive",0.63
"political",0.25
"Iraqi",0
"simultaneous",0.1
"social",0.74
"absolute",0.19
"classical",0.99
"parochial",0.17
"Sicilian",0
"Jewish",0.21
"final",0
"virtual",0.54
"dead",0.22
"authentic",1
"moral",1
"severe",0.69
"spiritual",0.82
"accurate",0
"plain",0.88
"painful",1
"unknown",0.84
"specific",0.73
"official",0.17
"minor",0.76
"fluid",0.36
"slow",0.24
"Lebanese",0
"musical",0.57
"medical",0.45
"organized",0.24
"mental",0.69
"big",0.32
"adorable",0.87
"experienced",0.49
"outstanding",0.75
"little",0.15
"Italian",0
"fantastic",0.64
"parochial",0.47
"vegetarian",0.88
"Russian",0
"legit",0.51
"integral",0.77
"Iraqi",0
"worldwide",0.51
"commercial",0.53
"fitted",0.71
"Thai",0
"custom",0.67
"cultural",0.57
"flashy",0.78
"Malaysian",0
"fundamentalist",0.64
"positive",1
"large",0
"upcoming",0.95
"male",0
"past",1
"southwestern",1
"fancy",1
"actual",0
"classical",1
"severe",1
"financial",1
"electrical",0
"pleasant",1
"pure",1
"solar",0
"sunny",0
"hard",0
"Israeli",1
"Indian",0.99
"close",1
"silent",0
"potential",1
"federal",1
"particular",1
"dead",0
"local",0
"rude",1
"loving",1
"northeastern",1
"lucky",1
"white",0
"Malaysian",0.01
"wet",0.01
"main",0.5
"international",0.03
"foreign",0.02
"Italian",0
"Egyptian",0
"major",1
"huge",1
"federal",0
"military",0
"cultural",0
"eminent",1
"wonderful",1
"blue",0
"lovely",1
"additional",0.51
"mobile",0
"blind",0
"corporate",0
"scientific",0
"unique",1
"Palestinian",0
"personal",0.52
"inner",0.49
"integrated",0
"natural",0.43
"single",0
"final",0
"commercial",0.09
"romantic",0.94
"imminent",0.11
"fancy",0.94
"vulnerable",0.82
"professional",0.14
"unusual",0.85
"wet",0.02
"legal",0.16
"handsome",0.88
"painful",0.63
"interesting",0.71
"forceful",0.21
"easy",0.17
"international",0.09
"experienced",0.2
"innocent",0.67
"entire",0.01
"certain",0.06
"ordinary",0.18
"sunny",0.22
"simultaneous",0.2
"electrical",0.07
"funny",0.9
"vegetarian",0.17
"unique",0.87
"psychological",0.82
"big",0.1
"correct",0.12
"limited",0.19
"soft",0.93
"Lebanese",0.02
"Sicilian",0.05
"unlawful",0.06
"simple",0.97
"parliamentary",0.06
"virtual",0.04
"ancient",0.01
"notable",0.98
"potent",0.02
"happy",0.93
"spiritual",0.93
"local",0.47
"double",0.47
"additional",0.95
"sudden",0.71
"deliberate",0.84
"proper",0.94
"specific",0.31
"new",1
"significant",0.7
"horrible",0.44
"absolute",0.28
"gay",0.09
"Mexican",0.08
"pleasant",0.75
"Chinese",0.02
"antique",0.24
"negative",0.81
"sufficient",0.81
"fanatic",0.66
"present",0.8
"Lebanese",0.23
"expensive",0.75
"physical",0.13
"pure",0.81
"major",0.75
"disgruntled",0.31
"sunny",0.05
"blind",0.04
"typical",0.89
"different",0.76
"simple",0.52
"whole",0.17
"usual",0.81
"corporate",0.08
"inaugural",0.13
"public",0.06
"wet",0.11
"parliamentary",0.23
"sudden",0.77
"calm",0.91
"coastal",0.1
"civic",0.54
"rude",0.81
"ideological",0.75
"next",0.17
"wonderful",0.88
"presidential",0.15
"mental",0.83
"manned",0
"fleeting",0.77
"best",0.82
"calm",0.49
"interim",0.14
"Jamaican",0
"strong",0.66
"parliamentary",0
"Egyptian",0
"democratic",0.26
"great",0.88
"disgusting",0.9
"large",0.63
"mountainous",0.72
"asymmetrical",0
"former",0
"total",0
"imposing",0.81
"innocent",0.61
"vested",0.23
"affluent",0.32
"multiple",0
"immediate",0.24
"serious",0.35
"legal",0
"deliberate",0
"correct",0.32
"lovely",0.9
"nasty",0.93
"major",0.58
"great",0.83
"gay",0.84
"excellent",0.77
"monthly",0.03
"spontaneous",0.77
"elaborate",0.87
"useful",0.84
"outstanding",0.92
"substantive",0.81
"renal",0.42
"exquisite",0.83
"Christian",0.82
"schizophrenic",0.5
"worldwide",0.33
"small",0.74
"Malaysian",0.16
"murderous",0.59
"notable",0.75
"negative",0.76
"cold",0.63
"full",0.67
"handsome",0.85
"internal",0.6
"polygamous",0.36
"romantic",0.82
"vegetarian",0.17
"inaugural",0.07
"black",0.55
"final",0.25
"imminent",0.39
"important",0.29
"ecological",0.08
"amazing",0.85
"particular",0.5
"bright",0.36
"horrendous",0.72
"fluid",0.13
"eerie",0.57
"Chinese",0.11
"painful",0.74
"central",0.52
"unique",0.8
"overall",0.12
"monthly",0
"loving",0.77
"wide",0.33
"different",0.67
"Cuban",0.16
"integral",0.5
"ordinary",0.71
"scratchy",0.77
"legal",0.1
"wrong",0.74
"dark",0.35
"useless",0.55
"expensive",0.81
"close",0.24
"Mexican",0.05
"German",0.03
"accurate",0.11
"dominant",0.79
"spiritual",0.98
"fleeting",0.05
"negative",0.77
"antique",0.01
"bland",0.3
"recent",0.34
"manned",0.77
"sudden",0.16
"hopeless",0.83
"deliberate",0.65
"enormous",0.01
"efficient",0.04
"electoral",0.77
"next",0.03
"mobile",0.01
"Australian",0.77
"only",0.03
"fabulous",0.87
"notable",0.83
"traditional",0.96
"dead",0.97
"double",0.52
"classical",0.31
"horrendous",0.33
"gay",0.88
"eastern",0.64
"good",0.54
"internal",0.76
"substantive",0.54
"forceful",0.83
"psychological",0.19
"front",0.14
"correct",0.37
"false",0.81
"delicious",0.98
"military",0.09
"useless",0.87
"soft",0.93
"vital",0.37
"waterproof",0.07
"orthographic",0.56
"international",0.16
"electric",0.11
"American",0.04
"aggressive",0.85
"Australian",0.01
"burdensome",0.83
"Indian",0.02
"Pakistani",0.06
"tricky",0.84
"social",0.96
"natural",0.71
"southwestern",0.12
"proper",0.95
"simple",0.96
"coastal",0.09
"fancy",0.96
"sophisticated",0.93
"dirty",0.95
"Egyptian",0.77
"fresh",0.24
"short",0.05
"political",0.48
"disgruntled",0.71
"burdensome",0.44
"inaugural",0.08
"blind",0.09
"exact",0.08
"presidential",0.65
"radical",0.76
"fundamentalist",0.52
"inner",0.25
"fond",0.4
"persistent",0.31
"lifelong",0.07
"bad",0.52
"wrong",0.57
"wide",0.1
"real",0.12
"expensive",0.09
"vast",0.15
"necessary",0.44
"unknown",0.39
"small",0.05
"top",0.07
"particular",0.55
"substantial",0.52
"young",0.08
"interesting",0.08
"chronic",0.54
"foreign",0.43
"manned",0.11
"kindly",0.56
"difficult",0.77
"pure",0.78
"live",0.2
"small",0.58
"minor",0.62
"intractable",0.5
"common",0.34
"unlawful",0.14
"actual",0.2
"proper",0.69
"tricky",0.69
"yellow",0.02
"excellent",0.78
"dirty",0.8
"calm",0.7
"painful",0.76
"pleasant",0.82
"potential",0.82
"exact",0.15
"hard",0.41
"little",0.72
"front",0.37
"technical",0.21
"main",0.29
"great",0.7
"territorial",0.62
"murderous",0.4
"fantastic",0.88
"exact",0.34
"traditional",0.66
"modern",0.49
"former",0.18
"mere",0.53
"elaborate",0.67
"yellow",0.09
"mental",0.56
"authentic",0.81
"dirty",0.83
"early",0.75
"French",0.36
"historical",0.29
"strategic",0.69
"negative",0.81
"tall",0.69
"persistent",0.66
"unusual",0.92
"Parisian",0.51
"Thai",0.45
"economic",0.67
"optical",0.66
"organized",0.86
"personal",0.91
"amazing",0.92
"federal",0.31
"only",0.52
"front",0.07
"Moslem",0.5
"cold",0.79
"Bangladeshi",0.84
"aggressive",0.84
"local",0.03
"collective",0.07
"specific",0.92
"flashy",0.03
"international",0.56
"northern",0.55
"expensive",0.89
"fluid",0.56
"appetizing",0.94
"Islamic",0.35
"funny",0.89
"British",0.24
"Cuban",0.29
"European",0.19
"gay",0.52
"tall",0.12
"strong",0.8
"real",0.54
"imposing",0.82
"classical",0.16
"select",0.52
"naval",0.48
"musical",0.74
"formal",0.69
"wide",0.45
"civic",0.63
"sweet",0.84
"sudden",0.19
"Iranian",0.17
"affluent",0.82
"Italian",0.14
"corrupt",0.83
"fleeting",0.78
"indoor",0.19
"desperate",0.18
"cuddly",0.82
"nasty",0.83
"simultaneous",0.76
"confidential",0.79
"monthly",0.15
"warm",0.22
"huge",0.8
"lonely",0.23
"sophisticated",0.78
"covert",0.77
"conversational",0.77
"inside",0.73
"fond",0.21
"French",0.16
"disgruntled",0.75
"critical",0.83
"sufficient",0.81
"ecological",0.8
"conventional",0.83
"flashy",0.83
"optical",0.84
"additional",0.45
"qualified",0.8
"tricky",0.36
"exact",0.83
"right",0.81
"uninterrupted",0.56
"delicious",0.74
"bland",0.17
"huge",0.72
"logical",1
"cheap",0.08
"poor",0.36
"substantial",0.53
"false",0.7
"alternative",0.1
"veritable",0.29
"Bangladeshi",0.45
"recent",0.32
"unusual",0.26
"corrupt",0.35
"absolute",0.87
"eminent",0.64
"civic",0.65
"shrill",0.65
"central",0.49
"long",0.37
"integral",0.63
"popular",0.75
"burdensome",0.58
"Australian",0.05
"delicious",1
"Egyptian",1
"African",1
"different",0
"uninterrupted",0
"single",0.48
"Russian",1
"electric",1
"creative",1
"civil",1
"Christian",1
"deliberate",0
"manned",0.5
"imminent",0.51
"fleeting",0.51
"efficient",0
"lonely",0.96
"accurate",0.48
"real",0.5
"fluid",1
"notable",0.5
"useful",1
"small",1
"physical",1
"tight",1
"private",0.93
"Cuban",1
"critical",1
"bland",1
"additional",0.52
"radical",1
"sweet",0.22
"burdensome",0.44
"dominant",0.27
"conversational",0
"Russian",0
"above",0
"inside",0
"substantive",0.72
"simultaneous",0
"dead",0
"close",0
"eastern",0.01
"significant",0.5
"usual",0.43
"lone",0
"aggressive",0
"silent",0
"interesting",1
"official",0
"vested",0.7
"formal",0.27
"orthographic",0
"possible",1
"Mexican",0
"horrendous",0.66
"nuclear",0
"cute",1
"affluent",0
"cortical",0.59
"special",0.25
"Mediterranean",0.69
"cheap",0.25
"above",0.15
"useless",0.87
"African",0.11
"free",0.52
"past",0.04
"social",0.72
"bad",0.5
"fresh",0.33
"continental",0.17
"simultaneous",0.23
"nasty",0.78
"cortical",0.73
"pertinent",0.75
"federal",0.15
"musical",0.48
"legal",0.05
"wrong",0.81
"Pakistani",0.01
"little",0.73
"custom",0.31
"tall",0.74
"uninterrupted",0.22
"corporate",0.24
"sick",0.31
"imminent",0.3
"confidential",0.26
"cultural",0.63
"virtual",0.64
"right",0
"plastic",0.3
"limited",0.79
"interim",0.68
"chemical",0.11
"full",0.1
"terrorist",0.89
"conversational",0.58
"regional",0.9
"integral",0.27
"Vietnamese",0.04
"rural",0.62
"nice",0.96
"female",0
"fond",0.7
"imposing",0.83
"legal",0.09
"professional",0.91
"sophisticated",0.85
"cultural",0.69
"critical",0.82
"German",0
"Egyptian",0
"diligent",0.37
"simple",0.79
"actual",0.43
"adorable",0.92
"medical",0.09
"calm",0.74
"virtual",0.65
"entire",0.7
"imminent",0.26
"dead",0.96
"simultaneous",0.22
"wonderful",0.14
"cuddly",0.69
"Pakistani",0.5
"double",0.18
"chemical",0.12
"parochial",0.75
"global",0.14
"brave",0.82
"special",0.98
"fake",0.87
"friendly",0.14
"annual",0.19
"Jamaican",0.75
"close",0.44
"militant",0.76
"usual",0.21
"military",0.14
"silent",0.76
"potent",0.76
"organized",0.14
"vital",0.72
"wet",0.87
"cortical",0.67
"Thai",0.18
"only",0.14
"worldwide",0.53
"expensive",0.7
"psychological",0.86
"commercial",0.53
"lucky",0.57
"German",0.26
"potential",0.65
"Parisian",0.53
"front",0.5
"golden",0.5
"funny",0.62
"early",0.64
"fake",0.62
"vulnerable",0.66
"fond",0.53
"exact",0.48
"scientific",0.6
"conversational",0.62
"small",0.4
"big",0.4
"vast",0.43
"democratic",0.49
"French",0.29
"technical",0.33
"urgent",0.56
"Cuban",0.33
"dead",0.39
"shrill",0.49
"integral",0.57
"Canadian",0.35
"custom",0.31
"veritable",0.75
"cute",0.97
"common",0.6
"out",0.21
"early",0.13
"possible",0.64
"coincidental",0.44
"worldwide",0.12
"wrong",0.82
"logical",0.54
"front",0
"scratchy",0.26
"slow",0.39
"Iranian",0
"light",0.71
"vast",0.72
"similar",0.36
"enormous",0.39
"Republican",0
"prime",0.69
"silent",0
"monthly",0
"elaborate",0.65
"appetizing",0.79
"waterproof",0.07
"Cuban",0
"present",0
"outstanding",0.8
"sunny",0.16
"northeastern",0
"fine",0.51
"substantive",0.57
"huge",0.68
"graphic",0.03
"blind",0
"honest",0.1
"notable",0.47
"physical",0
"loving",0.84
"commercial",0.04
"European",0
"bad",0.87
"fake",0
"planetary",0.01
"logical",0.43
"radical",0.7
"simple",0.82
"lazy",0.61
"Parisian",0
"Islamic",0
"interim",0.38
"particular",0.71
"fancy",0.62
"foreign",0
"nuclear",0
"historical",0.02
"fundamentalist",0.27
"typical",0.72
"experienced",0.29
"immediate",0.68
"daily",0.01
"Jewish",0.22
"blue",0.61
"popular",0.79
"sweet",0.81
"next",0.14
"spiritual",0.9
"tricky",0.83
"significant",0.83
"appetizing",0.88
"desperate",0.76
"numerous",0.65
"ecological",0.53
"happy",0.9
"traditional",0.63
"pertinent",0.8
"clean",0.62
"nearby",0.7
"Vietnamese",0.04
"wireless",0.07
"out",0.38
"polygamous",0.22
"plastic",0.19
"actual",0.51
"murderous",0.26
"white",0.68
"useful",0.8
"classical",0.8
"only",0.18
"Jamaican",0.8
"pleasant",0.88
"affluent",0.16
"tiny",0.26
"Sicilian",0.31
"new",0.64
"fabulous",0.57
"interesting",0.77
"wireless",0.39
"geometric",0.63
"honest",0.59
"planetary",0.43
"rural",0.38
"old",0.34
"conventional",0.78
"Jewish",0.71
"maritime",0.74
"fitted",0.5
"female",0.87
"Israeli",0.79
"ulterior",0.28
"experienced",0.46
"accurate",0.46
"above",0.59
"yellow",0.3
"disgruntled",0.47
"cuddly",0.41
"murderous",0.6
"dead",0.3
"smart",0.55
"magnetic",0.2
"democratic",0.99
"geometric",0.02
"black",0.84
"happy",0.82
"severe",0.98
"deliberate",0.4
"basic",0.85
"Vietnamese",0.01
"daily",0.03
"pleasant",0.99
"Bangladeshi",0.02
"vital",0.99
"prime",0.26
"clean",0.93
"nuclear",0.01
"difficult",0.98
"presidential",0.99
"ordinary",0.99
"unusual",0.73
"real",0.25
"possible",0.86
"imminent",0.4
"eerie",0.99
"only",0.02
"sunny",0.17
"certain",0.9
"wrong",0.65
"usual",0.91
"strategic",0.99
"irate",0.13
"fitted",0
"immediate",0.09
"best",0.51
"possible",0
"overall",0.22
"specific",0
"correct",0
"Muslim",0
"presidential",0
"Malaysian",0
"serious",0
"Vietnamese",0
"Afghan",0
"double",0
"pertinent",0.29
"inner",0
"bright",0.24
"medical",0
"human",0
"dear",0.94
"sophisticated",0.07
"Lebanese",0
"prime",0
"vital",0.07
"senior",0
"uninterrupted",0
"dead",0
"delicious",1
"Indian",0
"upcoming",0.03
"personal",0.83
"Republican",0.11
"brave",0.78
"cold",0.68
"fitted",0.07
"fluid",0.73
"enormous",0.67
"maritime",0.02
"urgent",0.86
"tall",0.25
"electoral",0.01
"chronic",0.22
"technical",0.11
"persistent",0.79
"dead",0.03
"related",0.7
"ulterior",0.77
"optical",0.09
"pleasant",0.88
"gay",0.45
"mental",0.29
"annual",0.01
"federal",0.07
"presidential",0.03
"strong",0.88
"huge",0.76
"limited",0.59
"fond",0.88
"ideological",0.29
"loving",0.32
"southwestern",0.14
"schizophrenic",0.47
"wonderful",0.89
"female",0.08
"experienced",0.22
"dead",0
"live",0.13
"intractable",0.47
"collective",0.22
"short",0.22
"eastern",0.01
"actual",0.2
"personal",0.24
"integral",0.49
"Vietnamese",0.03
"terrorist",0.08
"different",0.13
"blue",0.02
"bad",0.5
"scientific",0.26
"Cuban",0.02
"legal",0.06
"fine",0.77
"Thai",0.01
"burdensome",0.66
"certain",0.48
"out",0.15
"national",0.13
"Jewish",0.14
"mountainous",0.21
"veritable",0.48
"eerie",0.71
"horrendous",0.81
"indoor",0
"inner",0.15
"fundamentalist",0.32
"collective",0.5
"Iranian",0.21
"cultural",0.68
"tremendous",0.91
"Sicilian",0.2
"moral",0.88
"alternative",0.23
"Moslem",0.17
"prime",0.59
"organized",0.86
"irate",0.89
"naval",0.52
"eminent",0.58
"human",0.17
"front",0.54
"ordinary",0.77
"high",0.12
"mere",0.89
"modern",0.64
"senior",0.44
"annual",0.16
"double",0.03
"vested",0.48
"common",0.55
"mobile",0.6
"great",0.78
"pleasant",0.71
"solar",0.18
"renal",0.2
"total",0.24
"substantive",0.19
"innocent",0.2
"single",0.2
"burdensome",0.77
"rude",0.89
"Pakistani",0.95
"vulnerable",0.94
"recent",0.04
"private",0
"huge",0.85
"present",0.13
"intractable",0.23
"funny",0.9
"alternative",0.75
"near",1
"Canadian",0.04
"cute",0.97
"Jamaican",0.04
"honest",0.04
"dominant",0.29
"schizophrenic",0.06
"civil",0.81
"cuddly",0.79
"modern",0.72
"imminent",0.81
"legal",0.78
"happy",0.52
"free",0.07
"Palestinian",0.8
"smooth",0.54
"Sicilian",0.74
"vulnerable",0.54
"continental",0.65
"pertinent",0.89
"chronic",0.78
"fake",0.2
"bloody",0.12
"former",0.01
"psychological",0.29
"old",0.96
"cute",0.93
"double",0.01
"special",0.78
"persistent",0.26
"dominant",0.3
"notable",0.38
"rude",0.21
"appetizing",0.8
"collective",0.28
"long",0.64
"out",0.22
"accurate",0.06
"typical",0.44
"inaugural",0
"maritime",0
"chronic",0
"best",1
"happy",1
"mountainous",0
"British",0.14
"beautiful",1
"alternative",0.68
"imminent",0.69
"diligent",0.52
"optical",0
"elaborate",0.75
"solar",0
"proper",1
"different",0.5
"inside",0.19
"nice",1
"ancient",0.71
"fine",1
"lonely",0.83
"double",0
"young",0.79
"recent",1
"golden",0.54
"foreign",1
"electrical",0
"high",1
"scratchy",0.51
"Islamic",0.13
"private",0.25
"organized",0.21
"positive",0.64
"free",0.65
"Moslem",0.09
"adorable",0.86
"fluid",0.07
"crappy",0.93
"pure",0.28
"recent",0.69
"yellow",0.09
"funny",0.8
"rural",0.1
"electoral",0.04
"daily",0.05
"tiny",0.7
"professional",0.52
"Muslim",0.08
"British",0.07
"rude",0.74
"good",0.86
"inner",0.19
"formal",0.11
"fantastic",0.93
"horrible",0.87
"additional",0.07
"medical",0.26
"imposing",0.84
"aggressive",0.81
"Australian",0.08
"Parisian",0.59
"Islamic",0.06
"tight",0.78
"medical",0.48
"Japanese",0.87
"Thai",0.36
"collective",0.55
"special",0.78
"brave",0.77
"continental",0.65
"Moslem",0.25
"Mediterranean",0.83
"civic",0.53
"slow",0.86
"pleasant",0.68
"popular",0.34
"affluent",0.34
"prime",0.78
"asymmetrical",0.78
"beautiful",0.07
"painful",0.74
"human",0.7
"lonely",0.14
"square",0.83
"high",0.56
"aggressive",0.1
"sunny",0.83
"eminent",0.54
"physical",0.07
"renal",0.88
"coincidental",0.02
"virtual",0.05
"mental",0.48
"sudden",0.01
"white",0.01
"collective",0.57
"horrible",1
"interim",0.19
"cuddly",0.96
"German",0.02
"Sicilian",0.01
"eastern",0.03
"only",0.51
"tight",0.99
"Bangladeshi",0.04
"official",0.22
"bright",0.97
"correct",0.75
"aggressive",0.98
"Japanese",0.03
"similar",0.96
"light",0.48
"ulterior",0.51
"difficult",1
"polygamous",0.06
"wide",0.82
"double",0.09
"magnetic",0.34
"recent",0.34
"smooth",0.34
"final",0.07
"rude",0.78
"classical",0.81
"close",0.71
"Indian",0.7
"total",0.25
"bad",0.73
"related",0.58
"inside",0.34
"irate",0.67
"entire",0.15
"simple",0.73
"burdensome",0.73
"little",0.31
"young",0.55
"plastic",0.09
"unlawful",0.24
"wealthy",0.37
"fantastic",0.76
"ideological",0.83
"northeastern",0.13
"fabulous",0.75
"calm",0.78
"human",0.11
"fine",0.74
"particular",0.38
"inaugural",0.23
"intractable",0.67
"innocent",0.55
"antique",0.43
"select",0.19
"vast",0.64
"chronic",0.13
"similar",0.71
"lazy",0.87
"serious",0.83
"final",0.19
"democratic",0.22
"spiritual",0.79
"limited",0.82
"major",0.79
"positive",0.71
"musical",0.65
"expensive",0.87
"brave",0.78
"polygamous",0.15
"experienced",0.65
"appetizing",0.9
"internal",0.2
"authentic",0.6
"near",0.73
"ecological",0.23
"enormous",0.88
"continental",0.21
"Russian",0.06
"eastern",0.09
"modern",0.68
"French",0.11
"American",0.1
"kindly",0.8
"historical",0.09
"special",1
"additional",0.08
"magnetic",0.89
"horrible",0.71
"specific",0
"lovely",0.76
"tripartite",0.48
"easy",0.57
"unusual",0.5
"loving",0.64
"possible",0.81
"outstanding",0.88
"intractable",0.41
"fanatic",0.81
"chemical",0
"fat",0.52
"average",0.67
"coastal",0
"wireless",0
"renal",0
"wide",0.65
"manned",0.12
"critical",0.51
"foreign",0.28
"significant",0.51
"black",0
"above",0
"huge",0.52
"scratchy",0.66
"innocent",0.78
"disgusting",1
"professional",0.62
"old",0.26
"mountainous",0
"immediate",0
"manned",0
"psychological",0
"public",0
"exact",0
"fundamentalist",0
"select",1
"American",0
"chronic",0
"main",0
"ancient",0
"former",0
"ordinary",0.35
