Worker_ID	Gender	Education	Lang	Age	variable	value	polarity	politeness	complexity	item1	item2	item	list
A2HTH	Male	Associates degree	ENGLISH	27	Neg_Low_Morph_Accurate_Inaccurate	7	Neg	Low	Morph	Accurate	Inaccurate	Accurate_Inaccurate	a
A34MK	Male	Bachelors degree	english	53	Neg_Low_Morph_Accurate_Inaccurate	6	Neg	Low	Morph	Accurate	Inaccurate	Accurate_Inaccurate	a
AZCGS	Male	Some High School	English	24	Neg_Low_Morph_Accurate_Inaccurate	7	Neg	Low	Morph	Accurate	Inaccurate	Accurate_Inaccurate	a
A311G	Male	Bachelors degree	English	34	Neg_Low_Morph_Accurate_Inaccurate	6	Neg	Low	Morph	Accurate	Inaccurate	Accurate_Inaccurate	a
A76YX	Female	Graduate degree (Masters, Doctorate, etc.)	english	57	Neg_Low_Morph_Accurate_Inaccurate	5	Neg	Low	Morph	Accurate	Inaccurate	Accurate_Inaccurate	a
A1WL6	Male	Bachelors degree	english	72	Neg_Low_Morph_Accurate_Inaccurate	6	Neg	Low	Morph	Accurate	Inaccurate	Accurate_Inaccurate	a
A10LL	Female	Bachelors degree	english	28	Neg_Low_Morph_Accurate_Inaccurate	6	Neg	Low	Morph	Accurate	Inaccurate	Accurate_Inaccurate	a
A1I0I	Female	Bachelors degree	English	34	Neg_Low_Morph_Accurate_Inaccurate	5	Neg	Low	Morph	Accurate	Inaccurate	Accurate_Inaccurate	a
A2QQE	Male	Some High School	English	25	Neg_Low_Morph_Accurate_Inaccurate	1	Neg	Low	Morph	Accurate	Inaccurate	Accurate_Inaccurate	a
AT0XK	Female	Bachelors degree	english	35	Neg_Low_Morph_Accurate_Inaccurate	7	Neg	Low	Morph	Accurate	Inaccurate	Accurate_Inaccurate	a
A3194	Female	Bachelors degree	english	24	Neg_Low_Morph_Accurate_Inaccurate	6	Neg	Low	Morph	Accurate	Inaccurate	Accurate_Inaccurate	a
A1LDN	Male	Bachelors degree	english	27	Neg_Low_Morph_Certain_Uncertain	4	Neg	Low	Morph	Certain	Uncertain	Certain_Uncertain	a
A3R71	Female	Bachelors degree	English	52	Neg_Low_Morph_Certain_Uncertain	5	Neg	Low	Morph	Certain	Uncertain	Certain_Uncertain	a
AGXET	Female	Graduate degree (Masters, Doctorate, etc.)	English	34	Neg_Low_Morph_Certain_Uncertain	5	Neg	Low	Morph	Certain	Uncertain	Certain_Uncertain	a
A17UB	Male	Bachelors degree	english	42	Neg_Low_Morph_Certain_Uncertain	5	Neg	Low	Morph	Certain	Uncertain	Certain_Uncertain	a
A171S	Male	Associates degree	english	31	Neg_Low_Morph_Certain_Uncertain	6	Neg	Low	Morph	Certain	Uncertain	Certain_Uncertain	a
A2JWL	Male	Bachelors degree	ENGLISH	27	Neg_Low_Morph_Certain_Uncertain	7	Neg	Low	Morph	Certain	Uncertain	Certain_Uncertain	a
A2G4G	Male	Bachelors degree	ENGLISH	35	Neg_Low_Morph_Certain_Uncertain	5	Neg	Low	Morph	Certain	Uncertain	Certain_Uncertain	a
A1LR5	Female	Bachelors degree	english	53	Neg_Low_Morph_Certain_Uncertain	4	Neg	Low	Morph	Certain	Uncertain	Certain_Uncertain	a
AVI7K	Female	High School Graduate	English	61	Neg_Low_Morph_Certain_Uncertain	6	Neg	Low	Morph	Certain	Uncertain	Certain_Uncertain	a
ADNSF	Male	Graduate degree (Masters, Doctorate, etc.)	English	45	Neg_Low_Morph_Certain_Uncertain	7	Neg	Low	Morph	Certain	Uncertain	Certain_Uncertain	a
A2VVI	Female	Bachelors degree	ENGLISH	70	Neg_Low_Morph_Certain_Uncertain	5	Neg	Low	Morph	Certain	Uncertain	Certain_Uncertain	a
AYMTA	Male	Bachelors degree	English	27	Neg_Low_Morph_Certain_Uncertain	6	Neg	Low	Morph	Certain	Uncertain	Certain_Uncertain	a
A4OVC	Male	Some High School	English	35	Neg_Low_Morph_Certain_Uncertain	6	Neg	Low	Morph	Certain	Uncertain	Certain_Uncertain	a
A2G7N	Male	Bachelors degree	English	32	Neg_Low_Morph_Certain_Uncertain	4	Neg	Low	Morph	Certain	Uncertain	Certain_Uncertain	a
A23LW	Female	Bachelors degree	ENGLISH	30	Neg_Low_Morph_Certain_Uncertain	5	Neg	Low	Morph	Certain	Uncertain	Certain_Uncertain	a
A29VH	Female	Graduate degree (Masters, Doctorate, etc.)	english	22	Neg_Low_Morph_Certain_Uncertain	7	Neg	Low	Morph	Certain	Uncertain	Certain_Uncertain	a
A15SJ	Female	Some college, no degree	english	44	Neg_Low_Morph_Certain_Uncertain	7	Neg	Low	Morph	Certain	Uncertain	Certain_Uncertain	a
A1SGE	Female	Bachelors degree	english	22	Neg_Low_Morph_Certain_Uncertain	4	Neg	Low	Morph	Certain	Uncertain	Certain_Uncertain	a
A2HTH	Male	Associates degree	ENGLISH	27	Neg_Low_Morph_Certain_Uncertain	7	Neg	Low	Morph	Certain	Uncertain	Certain_Uncertain	a
A34MK	Male	Bachelors degree	english	53	Neg_Low_Morph_Certain_Uncertain	6	Neg	Low	Morph	Certain	Uncertain	Certain_Uncertain	a
AZCGS	Male	Some High School	English	24	Neg_Low_Morph_Certain_Uncertain	6	Neg	Low	Morph	Certain	Uncertain	Certain_Uncertain	a
A311G	Male	Bachelors degree	English	34	Neg_Low_Morph_Certain_Uncertain	6	Neg	Low	Morph	Certain	Uncertain	Certain_Uncertain	a
A76YX	Female	Graduate degree (Masters, Doctorate, etc.)	english	57	Neg_Low_Morph_Certain_Uncertain	5	Neg	Low	Morph	Certain	Uncertain	Certain_Uncertain	a
A1WL6	Male	Bachelors degree	english	72	Neg_Low_Morph_Certain_Uncertain	6	Neg	Low	Morph	Certain	Uncertain	Certain_Uncertain	a
A10LL	Female	Bachelors degree	english	28	Neg_Low_Morph_Certain_Uncertain	5	Neg	Low	Morph	Certain	Uncertain	Certain_Uncertain	a
A1I0I	Female	Bachelors degree	English	34	Neg_Low_Morph_Certain_Uncertain	5	Neg	Low	Morph	Certain	Uncertain	Certain_Uncertain	a
A2QQE	Male	Some High School	English	25	Neg_Low_Morph_Certain_Uncertain	7	Neg	Low	Morph	Certain	Uncertain	Certain_Uncertain	a
AT0XK	Female	Bachelors degree	english	35	Neg_Low_Morph_Certain_Uncertain	7	Neg	Low	Morph	Certain	Uncertain	Certain_Uncertain	a
A3194	Female	Bachelors degree	english	24	Neg_Low_Morph_Certain_Uncertain	6	Neg	Low	Morph	Certain	Uncertain	Certain_Uncertain	a
A1LDN	Male	Bachelors degree	english	27	Neg_Low_Morph_Fair_Unfair	4	Neg	Low	Morph	Fair	Unfair	Fair_Unfair	a
A3R71	Female	Bachelors degree	English	52	Neg_Low_Morph_Fair_Unfair	5	Neg	Low	Morph	Fair	Unfair	Fair_Unfair	a
AGXET	Female	Graduate degree (Masters, Doctorate, etc.)	English	34	Neg_Low_Morph_Fair_Unfair	5	Neg	Low	Morph	Fair	Unfair	Fair_Unfair	a
A17UB	Male	Bachelors degree	english	42	Neg_Low_Morph_Fair_Unfair	6	Neg	Low	Morph	Fair	Unfair	Fair_Unfair	a
A171S	Male	Associates degree	english	31	Neg_Low_Morph_Fair_Unfair	6	Neg	Low	Morph	Fair	Unfair	Fair_Unfair	a
A2JWL	Male	Bachelors degree	ENGLISH	27	Neg_Low_Morph_Fair_Unfair	7	Neg	Low	Morph	Fair	Unfair	Fair_Unfair	a
A2G4G	Male	Bachelors degree	ENGLISH	35	Neg_Low_Morph_Fair_Unfair	5	Neg	Low	Morph	Fair	Unfair	Fair_Unfair	a
A1LR5	Female	Bachelors degree	english	53	Neg_Low_Morph_Fair_Unfair	3	Neg	Low	Morph	Fair	Unfair	Fair_Unfair	a
AVI7K	Female	High School Graduate	English	61	Neg_Low_Morph_Fair_Unfair	6	Neg	Low	Morph	Fair	Unfair	Fair_Unfair	a
ADNSF	Male	Graduate degree (Masters, Doctorate, etc.)	English	45	Neg_Low_Morph_Fair_Unfair	7	Neg	Low	Morph	Fair	Unfair	Fair_Unfair	a
A2VVI	Female	Bachelors degree	ENGLISH	70	Neg_Low_Morph_Fair_Unfair	7	Neg	Low	Morph	Fair	Unfair	Fair_Unfair	a
AYMTA	Male	Bachelors degree	English	27	Neg_Low_Morph_Fair_Unfair	7	Neg	Low	Morph	Fair	Unfair	Fair_Unfair	a
A4OVC	Male	Some High School	English	35	Neg_Low_Morph_Fair_Unfair	7	Neg	Low	Morph	Fair	Unfair	Fair_Unfair	a
A2G7N	Male	Bachelors degree	English	32	Neg_Low_Morph_Fair_Unfair	5	Neg	Low	Morph	Fair	Unfair	Fair_Unfair	a
A23LW	Female	Bachelors degree	ENGLISH	30	Neg_Low_Morph_Fair_Unfair	6	Neg	Low	Morph	Fair	Unfair	Fair_Unfair	a
A29VH	Female	Graduate degree (Masters, Doctorate, etc.)	english	22	Neg_Low_Morph_Fair_Unfair	7	Neg	Low	Morph	Fair	Unfair	Fair_Unfair	a
A15SJ	Female	Some college, no degree	english	44	Neg_Low_Morph_Fair_Unfair	5	Neg	Low	Morph	Fair	Unfair	Fair_Unfair	a
A1SGE	Female	Bachelors degree	english	22	Neg_Low_Morph_Fair_Unfair	6	Neg	Low	Morph	Fair	Unfair	Fair_Unfair	a
A2HTH	Male	Associates degree	ENGLISH	27	Neg_Low_Morph_Fair_Unfair	7	Neg	Low	Morph	Fair	Unfair	Fair_Unfair	a
A34MK	Male	Bachelors degree	english	53	Neg_Low_Morph_Fair_Unfair	1	Neg	Low	Morph	Fair	Unfair	Fair_Unfair	a
AZCGS	Male	Some High School	English	24	Neg_Low_Morph_Fair_Unfair	7	Neg	Low	Morph	Fair	Unfair	Fair_Unfair	a
A311G	Male	Bachelors degree	English	34	Neg_Low_Morph_Fair_Unfair	6	Neg	Low	Morph	Fair	Unfair	Fair_Unfair	a
A76YX	Female	Graduate degree (Masters, Doctorate, etc.)	english	57	Neg_Low_Morph_Fair_Unfair	5	Neg	Low	Morph	Fair	Unfair	Fair_Unfair	a
A1WL6	Male	Bachelors degree	english	72	Neg_Low_Morph_Fair_Unfair	6	Neg	Low	Morph	Fair	Unfair	Fair_Unfair	a
A10LL	Female	Bachelors degree	english	28	Neg_Low_Morph_Fair_Unfair	6	Neg	Low	Morph	Fair	Unfair	Fair_Unfair	a
A1I0I	Female	Bachelors degree	English	34	Neg_Low_Morph_Fair_Unfair	5	Neg	Low	Morph	Fair	Unfair	Fair_Unfair	a
A2QQE	Male	Some High School	English	25	Neg_Low_Morph_Fair_Unfair	6	Neg	Low	Morph	Fair	Unfair	Fair_Unfair	a
AT0XK	Female	Bachelors degree	english	35	Neg_Low_Morph_Fair_Unfair	7	Neg	Low	Morph	Fair	Unfair	Fair_Unfair	a
A3194	Female	Bachelors degree	english	24	Neg_Low_Morph_Fair_Unfair	2	Neg	Low	Morph	Fair	Unfair	Fair_Unfair	a
A1LDN	Male	Bachelors degree	english	27	Neg_Low_Morph_Friendly_Unfriendly	4	Neg	Low	Morph	Friendly	Unfriendly	Friendly_Unfriendly	a
A3R71	Female	Bachelors degree	English	52	Neg_Low_Morph_Friendly_Unfriendly	5	Neg	Low	Morph	Friendly	Unfriendly	Friendly_Unfriendly	a
AGXET	Female	Graduate degree (Masters, Doctorate, etc.)	English	34	Neg_Low_Morph_Friendly_Unfriendly	4	Neg	Low	Morph	Friendly	Unfriendly	Friendly_Unfriendly	a
A17UB	Male	Bachelors degree	english	42	Neg_Low_Morph_Friendly_Unfriendly	5	Neg	Low	Morph	Friendly	Unfriendly	Friendly_Unfriendly	a
A171S	Male	Associates degree	english	31	Neg_Low_Morph_Friendly_Unfriendly	6	Neg	Low	Morph	Friendly	Unfriendly	Friendly_Unfriendly	a
A2JWL	Male	Bachelors degree	ENGLISH	27	Neg_Low_Morph_Friendly_Unfriendly	7	Neg	Low	Morph	Friendly	Unfriendly	Friendly_Unfriendly	a
A2G4G	Male	Bachelors degree	ENGLISH	35	Neg_Low_Morph_Friendly_Unfriendly	6	Neg	Low	Morph	Friendly	Unfriendly	Friendly_Unfriendly	a
A1LR5	Female	Bachelors degree	english	53	Neg_Low_Morph_Friendly_Unfriendly	6	Neg	Low	Morph	Friendly	Unfriendly	Friendly_Unfriendly	a
AVI7K	Female	High School Graduate	English	61	Neg_Low_Morph_Friendly_Unfriendly	6	Neg	Low	Morph	Friendly	Unfriendly	Friendly_Unfriendly	a
ADNSF	Male	Graduate degree (Masters, Doctorate, etc.)	English	45	Neg_Low_Morph_Friendly_Unfriendly	7	Neg	Low	Morph	Friendly	Unfriendly	Friendly_Unfriendly	a
A2VVI	Female	Bachelors degree	ENGLISH	70	Neg_Low_Morph_Friendly_Unfriendly	7	Neg	Low	Morph	Friendly	Unfriendly	Friendly_Unfriendly	a
AYMTA	Male	Bachelors degree	English	27	Neg_Low_Morph_Friendly_Unfriendly	7	Neg	Low	Morph	Friendly	Unfriendly	Friendly_Unfriendly	a
A4OVC	Male	Some High School	English	35	Neg_Low_Morph_Friendly_Unfriendly	7	Neg	Low	Morph	Friendly	Unfriendly	Friendly_Unfriendly	a
A2G7N	Male	Bachelors degree	English	32	Neg_Low_Morph_Friendly_Unfriendly	5	Neg	Low	Morph	Friendly	Unfriendly	Friendly_Unfriendly	a
A23LW	Female	Bachelors degree	ENGLISH	30	Neg_Low_Morph_Friendly_Unfriendly	6	Neg	Low	Morph	Friendly	Unfriendly	Friendly_Unfriendly	a
A29VH	Female	Graduate degree (Masters, Doctorate, etc.)	english	22	Neg_Low_Morph_Friendly_Unfriendly	7	Neg	Low	Morph	Friendly	Unfriendly	Friendly_Unfriendly	a
A15SJ	Female	Some college, no degree	english	44	Neg_Low_Morph_Friendly_Unfriendly	5	Neg	Low	Morph	Friendly	Unfriendly	Friendly_Unfriendly	a
A1SGE	Female	Bachelors degree	english	22	Neg_Low_Morph_Friendly_Unfriendly	6	Neg	Low	Morph	Friendly	Unfriendly	Friendly_Unfriendly	a
A2HTH	Male	Associates degree	ENGLISH	27	Neg_Low_Morph_Friendly_Unfriendly	7	Neg	Low	Morph	Friendly	Unfriendly	Friendly_Unfriendly	a
A34MK	Male	Bachelors degree	english	53	Neg_Low_Morph_Friendly_Unfriendly	7	Neg	Low	Morph	Friendly	Unfriendly	Friendly_Unfriendly	a
AZCGS	Male	Some High School	English	24	Neg_Low_Morph_Friendly_Unfriendly	6	Neg	Low	Morph	Friendly	Unfriendly	Friendly_Unfriendly	a
A311G	Male	Bachelors degree	English	34	Neg_Low_Morph_Friendly_Unfriendly	6	Neg	Low	Morph	Friendly	Unfriendly	Friendly_Unfriendly	a
A76YX	Female	Graduate degree (Masters, Doctorate, etc.)	english	57	Neg_Low_Morph_Friendly_Unfriendly	4	Neg	Low	Morph	Friendly	Unfriendly	Friendly_Unfriendly	a
A1WL6	Male	Bachelors degree	english	72	Neg_Low_Morph_Friendly_Unfriendly	6	Neg	Low	Morph	Friendly	Unfriendly	Friendly_Unfriendly	a
A10LL	Female	Bachelors degree	english	28	Neg_Low_Morph_Friendly_Unfriendly	5	Neg	Low	Morph	Friendly	Unfriendly	Friendly_Unfriendly	a
A1I0I	Female	Bachelors degree	English	34	Neg_Low_Morph_Friendly_Unfriendly	5	Neg	Low	Morph	Friendly	Unfriendly	Friendly_Unfriendly	a
A2QQE	Male	Some High School	English	25	Neg_Low_Morph_Friendly_Unfriendly	5	Neg	Low	Morph	Friendly	Unfriendly	Friendly_Unfriendly	a
AT0XK	Female	Bachelors degree	english	35	Neg_Low_Morph_Friendly_Unfriendly	7	Neg	Low	Morph	Friendly	Unfriendly	Friendly_Unfriendly	a
A3194	Female	Bachelors degree	english	24	Neg_Low_Morph_Friendly_Unfriendly	2	Neg	Low	Morph	Friendly	Unfriendly	Friendly_Unfriendly	a
A1LDN	Male	Bachelors degree	english	27	Neg_Low_Morph_Happy_Unhappy	2	Neg	Low	Morph	Happy	Unhappy	Happy_Unhappy	a
A3R71	Female	Bachelors degree	English	52	Neg_Low_Morph_Happy_Unhappy	5	Neg	Low	Morph	Happy	Unhappy	Happy_Unhappy	a
AGXET	Female	Graduate degree (Masters, Doctorate, etc.)	English	34	Neg_Low_Morph_Happy_Unhappy	6	Neg	Low	Morph	Happy	Unhappy	Happy_Unhappy	a
A17UB	Male	Bachelors degree	english	42	Neg_Low_Morph_Happy_Unhappy	4	Neg	Low	Morph	Happy	Unhappy	Happy_Unhappy	a
A171S	Male	Associates degree	english	31	Neg_Low_Morph_Happy_Unhappy	5	Neg	Low	Morph	Happy	Unhappy	Happy_Unhappy	a
A2JWL	Male	Bachelors degree	ENGLISH	27	Neg_Low_Morph_Happy_Unhappy	7	Neg	Low	Morph	Happy	Unhappy	Happy_Unhappy	a
A2G4G	Male	Bachelors degree	ENGLISH	35	Neg_Low_Morph_Happy_Unhappy	6	Neg	Low	Morph	Happy	Unhappy	Happy_Unhappy	a
A1LR5	Female	Bachelors degree	english	53	Neg_Low_Morph_Happy_Unhappy	2	Neg	Low	Morph	Happy	Unhappy	Happy_Unhappy	a
AVI7K	Female	High School Graduate	English	61	Neg_Low_Morph_Happy_Unhappy	5	Neg	Low	Morph	Happy	Unhappy	Happy_Unhappy	a
ADNSF	Male	Graduate degree (Masters, Doctorate, etc.)	English	45	Neg_Low_Morph_Happy_Unhappy	7	Neg	Low	Morph	Happy	Unhappy	Happy_Unhappy	a
A2VVI	Female	Bachelors degree	ENGLISH	70	Neg_Low_Morph_Happy_Unhappy	7	Neg	Low	Morph	Happy	Unhappy	Happy_Unhappy	a
AYMTA	Male	Bachelors degree	English	27	Neg_Low_Morph_Happy_Unhappy	7	Neg	Low	Morph	Happy	Unhappy	Happy_Unhappy	a
A4OVC	Male	Some High School	English	35	Neg_Low_Morph_Happy_Unhappy	6	Neg	Low	Morph	Happy	Unhappy	Happy_Unhappy	a
A2G7N	Male	Bachelors degree	English	32	Neg_Low_Morph_Happy_Unhappy	4	Neg	Low	Morph	Happy	Unhappy	Happy_Unhappy	a
A23LW	Female	Bachelors degree	ENGLISH	30	Neg_Low_Morph_Happy_Unhappy	6	Neg	Low	Morph	Happy	Unhappy	Happy_Unhappy	a
A29VH	Female	Graduate degree (Masters, Doctorate, etc.)	english	22	Neg_Low_Morph_Happy_Unhappy	7	Neg	Low	Morph	Happy	Unhappy	Happy_Unhappy	a
A15SJ	Female	Some college, no degree	english	44	Neg_Low_Morph_Happy_Unhappy	7	Neg	Low	Morph	Happy	Unhappy	Happy_Unhappy	a
A1SGE	Female	Bachelors degree	english	22	Neg_Low_Morph_Happy_Unhappy	4	Neg	Low	Morph	Happy	Unhappy	Happy_Unhappy	a
A2HTH	Male	Associates degree	ENGLISH	27	Neg_Low_Morph_Happy_Unhappy	7	Neg	Low	Morph	Happy	Unhappy	Happy_Unhappy	a
A34MK	Male	Bachelors degree	english	53	Neg_Low_Morph_Happy_Unhappy	6	Neg	Low	Morph	Happy	Unhappy	Happy_Unhappy	a
AZCGS	Male	Some High School	English	24	Neg_Low_Morph_Happy_Unhappy	1	Neg	Low	Morph	Happy	Unhappy	Happy_Unhappy	a
A311G	Male	Bachelors degree	English	34	Neg_Low_Morph_Happy_Unhappy	6	Neg	Low	Morph	Happy	Unhappy	Happy_Unhappy	a
A76YX	Female	Graduate degree (Masters, Doctorate, etc.)	english	57	Neg_Low_Morph_Happy_Unhappy	5	Neg	Low	Morph	Happy	Unhappy	Happy_Unhappy	a
A1WL6	Male	Bachelors degree	english	72	Neg_Low_Morph_Happy_Unhappy	6	Neg	Low	Morph	Happy	Unhappy	Happy_Unhappy	a
A10LL	Female	Bachelors degree	english	28	Neg_Low_Morph_Happy_Unhappy	4	Neg	Low	Morph	Happy	Unhappy	Happy_Unhappy	a
A1I0I	Female	Bachelors degree	English	34	Neg_Low_Morph_Happy_Unhappy	5	Neg	Low	Morph	Happy	Unhappy	Happy_Unhappy	a
A2QQE	Male	Some High School	English	25	Neg_Low_Morph_Happy_Unhappy	2	Neg	Low	Morph	Happy	Unhappy	Happy_Unhappy	a
AT0XK	Female	Bachelors degree	english	35	Neg_Low_Morph_Happy_Unhappy	7	Neg	Low	Morph	Happy	Unhappy	Happy_Unhappy	a
A3194	Female	Bachelors degree	english	24	Neg_Low_Morph_Happy_Unhappy	6	Neg	Low	Morph	Happy	Unhappy	Happy_Unhappy	a
A1LDN	Male	Bachelors degree	english	27	Neg_Low_Morph_Interesting_Uninteresting	5	Neg	Low	Morph	Interesting	Uninteresting	Interesting_Uninteresting	a
A3R71	Female	Bachelors degree	English	52	Neg_Low_Morph_Interesting_Uninteresting	5	Neg	Low	Morph	Interesting	Uninteresting	Interesting_Uninteresting	a
AGXET	Female	Graduate degree (Masters, Doctorate, etc.)	English	34	Neg_Low_Morph_Interesting_Uninteresting	6	Neg	Low	Morph	Interesting	Uninteresting	Interesting_Uninteresting	a
A17UB	Male	Bachelors degree	english	42	Neg_Low_Morph_Interesting_Uninteresting	2	Neg	Low	Morph	Interesting	Uninteresting	Interesting_Uninteresting	a
A171S	Male	Associates degree	english	31	Neg_Low_Morph_Interesting_Uninteresting	5	Neg	Low	Morph	Interesting	Uninteresting	Interesting_Uninteresting	a
A2JWL	Male	Bachelors degree	ENGLISH	27	Neg_Low_Morph_Interesting_Uninteresting	7	Neg	Low	Morph	Interesting	Uninteresting	Interesting_Uninteresting	a
A2G4G	Male	Bachelors degree	ENGLISH	35	Neg_Low_Morph_Interesting_Uninteresting	4	Neg	Low	Morph	Interesting	Uninteresting	Interesting_Uninteresting	a
A1LR5	Female	Bachelors degree	english	53	Neg_Low_Morph_Interesting_Uninteresting	3	Neg	Low	Morph	Interesting	Uninteresting	Interesting_Uninteresting	a
AVI7K	Female	High School Graduate	English	61	Neg_Low_Morph_Interesting_Uninteresting	6	Neg	Low	Morph	Interesting	Uninteresting	Interesting_Uninteresting	a
ADNSF	Male	Graduate degree (Masters, Doctorate, etc.)	English	45	Neg_Low_Morph_Interesting_Uninteresting	7	Neg	Low	Morph	Interesting	Uninteresting	Interesting_Uninteresting	a
A2VVI	Female	Bachelors degree	ENGLISH	70	Neg_Low_Morph_Interesting_Uninteresting	5	Neg	Low	Morph	Interesting	Uninteresting	Interesting_Uninteresting	a
AYMTA	Male	Bachelors degree	English	27	Neg_Low_Morph_Interesting_Uninteresting	7	Neg	Low	Morph	Interesting	Uninteresting	Interesting_Uninteresting	a
A4OVC	Male	Some High School	English	35	Neg_Low_Morph_Interesting_Uninteresting	7	Neg	Low	Morph	Interesting	Uninteresting	Interesting_Uninteresting	a
A2G7N	Male	Bachelors degree	English	32	Neg_Low_Morph_Interesting_Uninteresting	5	Neg	Low	Morph	Interesting	Uninteresting	Interesting_Uninteresting	a
A23LW	Female	Bachelors degree	ENGLISH	30	Neg_Low_Morph_Interesting_Uninteresting	5	Neg	Low	Morph	Interesting	Uninteresting	Interesting_Uninteresting	a
A29VH	Female	Graduate degree (Masters, Doctorate, etc.)	english	22	Neg_Low_Morph_Interesting_Uninteresting	7	Neg	Low	Morph	Interesting	Uninteresting	Interesting_Uninteresting	a
A15SJ	Female	Some college, no degree	english	44	Neg_Low_Morph_Interesting_Uninteresting	7	Neg	Low	Morph	Interesting	Uninteresting	Interesting_Uninteresting	a
A1SGE	Female	Bachelors degree	english	22	Neg_Low_Morph_Interesting_Uninteresting	5	Neg	Low	Morph	Interesting	Uninteresting	Interesting_Uninteresting	a
A2HTH	Male	Associates degree	ENGLISH	27	Neg_Low_Morph_Interesting_Uninteresting	7	Neg	Low	Morph	Interesting	Uninteresting	Interesting_Uninteresting	a
A34MK	Male	Bachelors degree	english	53	Neg_Low_Morph_Interesting_Uninteresting	6	Neg	Low	Morph	Interesting	Uninteresting	Interesting_Uninteresting	a
AZCGS	Male	Some High School	English	24	Neg_Low_Morph_Interesting_Uninteresting	7	Neg	Low	Morph	Interesting	Uninteresting	Interesting_Uninteresting	a
A311G	Male	Bachelors degree	English	34	Neg_Low_Morph_Interesting_Uninteresting	6	Neg	Low	Morph	Interesting	Uninteresting	Interesting_Uninteresting	a
A76YX	Female	Graduate degree (Masters, Doctorate, etc.)	english	57	Neg_Low_Morph_Interesting_Uninteresting	5	Neg	Low	Morph	Interesting	Uninteresting	Interesting_Uninteresting	a
A1WL6	Male	Bachelors degree	english	72	Neg_Low_Morph_Interesting_Uninteresting	1	Neg	Low	Morph	Interesting	Uninteresting	Interesting_Uninteresting	a
A10LL	Female	Bachelors degree	english	28	Neg_Low_Morph_Interesting_Uninteresting	4	Neg	Low	Morph	Interesting	Uninteresting	Interesting_Uninteresting	a
