Worker_ID	Gender	Education	Lang	Age	variable	value	polarity	complexity	context	item1	item2	list	item	adjective
AZ99T	Male	Graduate degree (Masters, Doctorate, etc.)	English	28	Stand_Neg_Morph_Certain_Uncertain	6	Neg	Morph	Stand	Certain	Uncertain	a	Certain_Uncertain	uncertain
A15GL	Male	Bachelors degree	English	32	Stand_Neg_Morph_Certain_Uncertain	7	Neg	Morph	Stand	Certain	Uncertain	a	Certain_Uncertain	uncertain
A3W0K	Male	Bachelors degree	English	25	Stand_Neg_Morph_Certain_Uncertain	5	Neg	Morph	Stand	Certain	Uncertain	a	Certain_Uncertain	uncertain
A1ETE	Female	Some college, no degree	English	47	Stand_Neg_Morph_Certain_Uncertain	7	Neg	Morph	Stand	Certain	Uncertain	a	Certain_Uncertain	uncertain
A3GE8	Female	Graduate degree (Masters, Doctorate, etc.)	English	28	Stand_Neg_Morph_Certain_Uncertain	5	Neg	Morph	Stand	Certain	Uncertain	a	Certain_Uncertain	uncertain
A1Z8A	Male	Bachelors degree	english	30	Stand_Neg_Morph_Certain_Uncertain	5	Neg	Morph	Stand	Certain	Uncertain	a	Certain_Uncertain	uncertain
A2JCX	Male	Bachelors degree	english	35	Stand_Neg_Morph_Certain_Uncertain	6	Neg	Morph	Stand	Certain	Uncertain	a	Certain_Uncertain	uncertain
A3LVO	Female	Bachelors degree	English	28	Stand_Neg_Morph_Certain_Uncertain	5	Neg	Morph	Stand	Certain	Uncertain	a	Certain_Uncertain	uncertain
A1MTR	Female	Associates degree	English	57	Stand_Neg_Morph_Certain_Uncertain	1	Neg	Morph	Stand	Certain	Uncertain	a	Certain_Uncertain	uncertain
A2YTO	Female	Associates degree	English	46	Stand_Neg_Morph_Certain_Uncertain	7	Neg	Morph	Stand	Certain	Uncertain	a	Certain_Uncertain	uncertain
A23NU	Female	Bachelors degree	English	22	Stand_Neg_Morph_Certain_Uncertain	5	Neg	Morph	Stand	Certain	Uncertain	a	Certain_Uncertain	uncertain
AYCHP	Female	Bachelors degree	English	46	Stand_Neg_Morph_Certain_Uncertain	5	Neg	Morph	Stand	Certain	Uncertain	a	Certain_Uncertain	uncertain
A2B3E	Male	Bachelors degree	English	31	Stand_Neg_Morph_Certain_Uncertain	3	Neg	Morph	Stand	Certain	Uncertain	a	Certain_Uncertain	uncertain
A1WVL	Male	Bachelors degree	English	29	Stand_Neg_Morph_Certain_Uncertain	6	Neg	Morph	Stand	Certain	Uncertain	a	Certain_Uncertain	uncertain
A2QBF	Male	Associates degree	English	38	Stand_Neg_Morph_Certain_Uncertain	6	Neg	Morph	Stand	Certain	Uncertain	a	Certain_Uncertain	uncertain
A3KWA	Male	High School Graduate	English	31	Stand_Neg_Morph_Certain_Uncertain	5	Neg	Morph	Stand	Certain	Uncertain	a	Certain_Uncertain	uncertain
AERTM	Male	Bachelors degree	english	30	Stand_Neg_Morph_Certain_Uncertain	6	Neg	Morph	Stand	Certain	Uncertain	a	Certain_Uncertain	uncertain
A3EZ3	Male	High School Graduate	English	40	Stand_Neg_Morph_Certain_Uncertain	2	Neg	Morph	Stand	Certain	Uncertain	a	Certain_Uncertain	uncertain
A2PIF	Female	Some college, no degree	english	21	Stand_Neg_Morph_Certain_Uncertain	3	Neg	Morph	Stand	Certain	Uncertain	a	Certain_Uncertain	uncertain
A3D2G	Female	Bachelors degree	english	35	Stand_Neg_Morph_Certain_Uncertain	5	Neg	Morph	Stand	Certain	Uncertain	a	Certain_Uncertain	uncertain
A3VL1	Male	Bachelors degree	English	56	Stand_Neg_Morph_Certain_Uncertain	5	Neg	Morph	Stand	Certain	Uncertain	a	Certain_Uncertain	uncertain
A3LET	Male	Bachelors degree	english	23	Stand_Neg_Morph_Certain_Uncertain	4	Neg	Morph	Stand	Certain	Uncertain	a	Certain_Uncertain	uncertain
A1C3E	Male	Graduate degree (Masters, Doctorate, etc.)	ENGLISH	35	Stand_Neg_Morph_Certain_Uncertain	1	Neg	Morph	Stand	Certain	Uncertain	a	Certain_Uncertain	uncertain
A4I69	Male	Graduate degree (Masters, Doctorate, etc.)	english	30	Stand_Neg_Morph_Certain_Uncertain	5	Neg	Morph	Stand	Certain	Uncertain	a	Certain_Uncertain	uncertain
A1NLK	Male	Bachelors degree	english	58	Stand_Neg_Morph_Certain_Uncertain	5	Neg	Morph	Stand	Certain	Uncertain	a	Certain_Uncertain	uncertain
A2541	Male	Associates degree	English	29	Stand_Neg_Morph_Certain_Uncertain	6	Neg	Morph	Stand	Certain	Uncertain	a	Certain_Uncertain	uncertain
A230G	Female	Some college, no degree	English	28	Stand_Neg_Morph_Certain_Uncertain	4	Neg	Morph	Stand	Certain	Uncertain	a	Certain_Uncertain	uncertain
A3KP8	Female	Associates degree	English	56	Stand_Neg_Morph_Certain_Uncertain	5	Neg	Morph	Stand	Certain	Uncertain	a	Certain_Uncertain	uncertain
A4W9A	Male	Bachelors degree	english	39	Stand_Neg_Morph_Certain_Uncertain	6	Neg	Morph	Stand	Certain	Uncertain	a	Certain_Uncertain	uncertain
A34XU	Female	Bachelors degree	English	24	Stand_Neg_Morph_Certain_Uncertain	5	Neg	Morph	Stand	Certain	Uncertain	a	Certain_Uncertain	uncertain
A1V2H	Male	Some college, no degree	English	60	Stand_Neg_Morph_Certain_Uncertain	7	Neg	Morph	Stand	Certain	Uncertain	a	Certain_Uncertain	uncertain
A95E6	Female	Bachelors degree	ENGLISH	35	Stand_Neg_Morph_Certain_Uncertain	NA	Neg	Morph	Stand	Certain	Uncertain	a	Certain_Uncertain	uncertain
A1BVG	Female	High School Graduate	english	43	Stand_Neg_Morph_Certain_Uncertain	5	Neg	Morph	Stand	Certain	Uncertain	a	Certain_Uncertain	uncertain
A2RWL	Male	Bachelors degree	Chinese	28	Stand_Neg_Morph_Certain_Uncertain	5	Neg	Morph	Stand	Certain	Uncertain	a	Certain_Uncertain	uncertain
A2D34	Male	Bachelors degree	english	56	Stand_Neg_Morph_Certain_Uncertain	NA	Neg	Morph	Stand	Certain	Uncertain	a	Certain_Uncertain	uncertain
ASTR3	Male	Associates degree	english	30	Stand_Neg_Morph_Certain_Uncertain	6	Neg	Morph	Stand	Certain	Uncertain	a	Certain_Uncertain	uncertain
A2XCE	Male	Graduate degree (Masters, Doctorate, etc.)	English	28	Stand_Neg_Morph_Certain_Uncertain	7	Neg	Morph	Stand	Certain	Uncertain	a	Certain_Uncertain	uncertain
AOFDU	Female	Bachelors degree	english	31	Stand_Neg_Morph_Certain_Uncertain	5	Neg	Morph	Stand	Certain	Uncertain	a	Certain_Uncertain	uncertain
ARWN6	Male	Bachelors degree	english	33	Stand_Neg_Morph_Certain_Uncertain	5	Neg	Morph	Stand	Certain	Uncertain	a	Certain_Uncertain	uncertain
A1GKD	Female	Associates degree	eng	58	Stand_Neg_Morph_Certain_Uncertain	4	Neg	Morph	Stand	Certain	Uncertain	a	Certain_Uncertain	uncertain
AQ9WD	Female	Bachelors degree	English	26	Stand_Neg_Morph_Certain_Uncertain	6	Neg	Morph	Stand	Certain	Uncertain	a	Certain_Uncertain	uncertain
A2GJJ	Male	Bachelors degree	ENGLISH	28	Stand_Neg_Morph_Certain_Uncertain	7	Neg	Morph	Stand	Certain	Uncertain	a	Certain_Uncertain	uncertain
AEF74	Male	Bachelors degree	English	41	Stand_Neg_Morph_Certain_Uncertain	5	Neg	Morph	Stand	Certain	Uncertain	a	Certain_Uncertain	uncertain
A2TKF	Female	Bachelors degree	english	35	Stand_Neg_Morph_Certain_Uncertain	6	Neg	Morph	Stand	Certain	Uncertain	a	Certain_Uncertain	uncertain
A2RHE	Female	High School Graduate	English	30	Nonstand_Neg_Morph_Fair_Unfair	7	Neg	Morph	Nonstand	Fair	Unfair	a	Fair_Unfair	unfair
AZ99T	Male	Graduate degree (Masters, Doctorate, etc.)	English	28	Nonstand_Neg_Morph_Fair_Unfair	6	Neg	Morph	Nonstand	Fair	Unfair	a	Fair_Unfair	unfair
A15GL	Male	Bachelors degree	English	32	Nonstand_Neg_Morph_Fair_Unfair	7	Neg	Morph	Nonstand	Fair	Unfair	a	Fair_Unfair	unfair
A3W0K	Male	Bachelors degree	English	25	Nonstand_Neg_Morph_Fair_Unfair	3	Neg	Morph	Nonstand	Fair	Unfair	a	Fair_Unfair	unfair
A1ETE	Female	Some college, no degree	English	47	Nonstand_Neg_Morph_Fair_Unfair	1	Neg	Morph	Nonstand	Fair	Unfair	a	Fair_Unfair	unfair
A3GE8	Female	Graduate degree (Masters, Doctorate, etc.)	English	28	Nonstand_Neg_Morph_Fair_Unfair	5	Neg	Morph	Nonstand	Fair	Unfair	a	Fair_Unfair	unfair
A1Z8A	Male	Bachelors degree	english	30	Nonstand_Neg_Morph_Fair_Unfair	6	Neg	Morph	Nonstand	Fair	Unfair	a	Fair_Unfair	unfair
A2JCX	Male	Bachelors degree	english	35	Nonstand_Neg_Morph_Fair_Unfair	5	Neg	Morph	Nonstand	Fair	Unfair	a	Fair_Unfair	unfair
A3LVO	Female	Bachelors degree	English	28	Nonstand_Neg_Morph_Fair_Unfair	6	Neg	Morph	Nonstand	Fair	Unfair	a	Fair_Unfair	unfair
A1MTR	Female	Associates degree	English	57	Nonstand_Neg_Morph_Fair_Unfair	7	Neg	Morph	Nonstand	Fair	Unfair	a	Fair_Unfair	unfair
A2YTO	Female	Associates degree	English	46	Nonstand_Neg_Morph_Fair_Unfair	7	Neg	Morph	Nonstand	Fair	Unfair	a	Fair_Unfair	unfair
A23NU	Female	Bachelors degree	English	22	Nonstand_Neg_Morph_Fair_Unfair	5	Neg	Morph	Nonstand	Fair	Unfair	a	Fair_Unfair	unfair
AYCHP	Female	Bachelors degree	English	46	Nonstand_Neg_Morph_Fair_Unfair	6	Neg	Morph	Nonstand	Fair	Unfair	a	Fair_Unfair	unfair
A2B3E	Male	Bachelors degree	English	31	Nonstand_Neg_Morph_Fair_Unfair	2	Neg	Morph	Nonstand	Fair	Unfair	a	Fair_Unfair	unfair
A1WVL	Male	Bachelors degree	English	29	Nonstand_Neg_Morph_Fair_Unfair	6	Neg	Morph	Nonstand	Fair	Unfair	a	Fair_Unfair	unfair
A2QBF	Male	Associates degree	English	38	Nonstand_Neg_Morph_Fair_Unfair	6	Neg	Morph	Nonstand	Fair	Unfair	a	Fair_Unfair	unfair
A3KWA	Male	High School Graduate	English	31	Nonstand_Neg_Morph_Fair_Unfair	7	Neg	Morph	Nonstand	Fair	Unfair	a	Fair_Unfair	unfair
AERTM	Male	Bachelors degree	english	30	Nonstand_Neg_Morph_Fair_Unfair	4	Neg	Morph	Nonstand	Fair	Unfair	a	Fair_Unfair	unfair
A3EZ3	Male	High School Graduate	English	40	Nonstand_Neg_Morph_Fair_Unfair	6	Neg	Morph	Nonstand	Fair	Unfair	a	Fair_Unfair	unfair
A2PIF	Female	Some college, no degree	english	21	Nonstand_Neg_Morph_Fair_Unfair	5	Neg	Morph	Nonstand	Fair	Unfair	a	Fair_Unfair	unfair
A3D2G	Female	Bachelors degree	english	35	Nonstand_Neg_Morph_Fair_Unfair	6	Neg	Morph	Nonstand	Fair	Unfair	a	Fair_Unfair	unfair
A3VL1	Male	Bachelors degree	English	56	Nonstand_Neg_Morph_Fair_Unfair	6	Neg	Morph	Nonstand	Fair	Unfair	a	Fair_Unfair	unfair
A3LET	Male	Bachelors degree	english	23	Nonstand_Neg_Morph_Fair_Unfair	6	Neg	Morph	Nonstand	Fair	Unfair	a	Fair_Unfair	unfair
A1C3E	Male	Graduate degree (Masters, Doctorate, etc.)	ENGLISH	35	Nonstand_Neg_Morph_Fair_Unfair	7	Neg	Morph	Nonstand	Fair	Unfair	a	Fair_Unfair	unfair
A4I69	Male	Graduate degree (Masters, Doctorate, etc.)	english	30	Nonstand_Neg_Morph_Fair_Unfair	6	Neg	Morph	Nonstand	Fair	Unfair	a	Fair_Unfair	unfair
A1NLK	Male	Bachelors degree	english	58	Nonstand_Neg_Morph_Fair_Unfair	6	Neg	Morph	Nonstand	Fair	Unfair	a	Fair_Unfair	unfair
A2541	Male	Associates degree	English	29	Nonstand_Neg_Morph_Fair_Unfair	7	Neg	Morph	Nonstand	Fair	Unfair	a	Fair_Unfair	unfair
A230G	Female	Some college, no degree	English	28	Nonstand_Neg_Morph_Fair_Unfair	4	Neg	Morph	Nonstand	Fair	Unfair	a	Fair_Unfair	unfair
A3KP8	Female	Associates degree	English	56	Nonstand_Neg_Morph_Fair_Unfair	6	Neg	Morph	Nonstand	Fair	Unfair	a	Fair_Unfair	unfair
A4W9A	Male	Bachelors degree	english	39	Nonstand_Neg_Morph_Fair_Unfair	4	Neg	Morph	Nonstand	Fair	Unfair	a	Fair_Unfair	unfair
A34XU	Female	Bachelors degree	English	24	Nonstand_Neg_Morph_Fair_Unfair	5	Neg	Morph	Nonstand	Fair	Unfair	a	Fair_Unfair	unfair
A1V2H	Male	Some college, no degree	English	60	Nonstand_Neg_Morph_Fair_Unfair	4	Neg	Morph	Nonstand	Fair	Unfair	a	Fair_Unfair	unfair
A95E6	Female	Bachelors degree	ENGLISH	35	Nonstand_Neg_Morph_Fair_Unfair	NA	Neg	Morph	Nonstand	Fair	Unfair	a	Fair_Unfair	unfair
A1BVG	Female	High School Graduate	english	43	Nonstand_Neg_Morph_Fair_Unfair	1	Neg	Morph	Nonstand	Fair	Unfair	a	Fair_Unfair	unfair
A2RWL	Male	Bachelors degree	Chinese	28	Nonstand_Neg_Morph_Fair_Unfair	4	Neg	Morph	Nonstand	Fair	Unfair	a	Fair_Unfair	unfair
A2D34	Male	Bachelors degree	english	56	Nonstand_Neg_Morph_Fair_Unfair	NA	Neg	Morph	Nonstand	Fair	Unfair	a	Fair_Unfair	unfair
ASTR3	Male	Associates degree	english	30	Nonstand_Neg_Morph_Fair_Unfair	5	Neg	Morph	Nonstand	Fair	Unfair	a	Fair_Unfair	unfair
A2XCE	Male	Graduate degree (Masters, Doctorate, etc.)	English	28	Nonstand_Neg_Morph_Fair_Unfair	7	Neg	Morph	Nonstand	Fair	Unfair	a	Fair_Unfair	unfair
AOFDU	Female	Bachelors degree	english	31	Nonstand_Neg_Morph_Fair_Unfair	5	Neg	Morph	Nonstand	Fair	Unfair	a	Fair_Unfair	unfair
ARWN6	Male	Bachelors degree	english	33	Nonstand_Neg_Morph_Fair_Unfair	5	Neg	Morph	Nonstand	Fair	Unfair	a	Fair_Unfair	unfair
A1GKD	Female	Associates degree	eng	58	Nonstand_Neg_Morph_Fair_Unfair	5	Neg	Morph	Nonstand	Fair	Unfair	a	Fair_Unfair	unfair
AQ9WD	Female	Bachelors degree	English	26	Nonstand_Neg_Morph_Fair_Unfair	7	Neg	Morph	Nonstand	Fair	Unfair	a	Fair_Unfair	unfair
A2GJJ	Male	Bachelors degree	ENGLISH	28	Nonstand_Neg_Morph_Fair_Unfair	7	Neg	Morph	Nonstand	Fair	Unfair	a	Fair_Unfair	unfair
AEF74	Male	Bachelors degree	English	41	Nonstand_Neg_Morph_Fair_Unfair	5	Neg	Morph	Nonstand	Fair	Unfair	a	Fair_Unfair	unfair
A2TKF	Female	Bachelors degree	english	35	Nonstand_Neg_Morph_Fair_Unfair	6	Neg	Morph	Nonstand	Fair	Unfair	a	Fair_Unfair	unfair
A2RHE	Female	High School Graduate	English	30	Nonstand_Neg_Morph_Friendly_Unfriendly	7	Neg	Morph	Nonstand	Friendly	Unfriendly	a	Friendly_Unfriendly	unfriendly
AZ99T	Male	Graduate degree (Masters, Doctorate, etc.)	English	28	Nonstand_Neg_Morph_Friendly_Unfriendly	4	Neg	Morph	Nonstand	Friendly	Unfriendly	a	Friendly_Unfriendly	unfriendly
A15GL	Male	Bachelors degree	English	32	Nonstand_Neg_Morph_Friendly_Unfriendly	7	Neg	Morph	Nonstand	Friendly	Unfriendly	a	Friendly_Unfriendly	unfriendly
A3W0K	Male	Bachelors degree	English	25	Nonstand_Neg_Morph_Friendly_Unfriendly	2	Neg	Morph	Nonstand	Friendly	Unfriendly	a	Friendly_Unfriendly	unfriendly
A1ETE	Female	Some college, no degree	English	47	Nonstand_Neg_Morph_Friendly_Unfriendly	7	Neg	Morph	Nonstand	Friendly	Unfriendly	a	Friendly_Unfriendly	unfriendly
A3GE8	Female	Graduate degree (Masters, Doctorate, etc.)	English	28	Nonstand_Neg_Morph_Friendly_Unfriendly	5	Neg	Morph	Nonstand	Friendly	Unfriendly	a	Friendly_Unfriendly	unfriendly
A1Z8A	Male	Bachelors degree	english	30	Nonstand_Neg_Morph_Friendly_Unfriendly	5	Neg	Morph	Nonstand	Friendly	Unfriendly	a	Friendly_Unfriendly	unfriendly
A2JCX	Male	Bachelors degree	english	35	Nonstand_Neg_Morph_Friendly_Unfriendly	5	Neg	Morph	Nonstand	Friendly	Unfriendly	a	Friendly_Unfriendly	unfriendly
A3LVO	Female	Bachelors degree	English	28	Nonstand_Neg_Morph_Friendly_Unfriendly	5	Neg	Morph	Nonstand	Friendly	Unfriendly	a	Friendly_Unfriendly	unfriendly
A1MTR	Female	Associates degree	English	57	Nonstand_Neg_Morph_Friendly_Unfriendly	7	Neg	Morph	Nonstand	Friendly	Unfriendly	a	Friendly_Unfriendly	unfriendly
A2YTO	Female	Associates degree	English	46	Nonstand_Neg_Morph_Friendly_Unfriendly	7	Neg	Morph	Nonstand	Friendly	Unfriendly	a	Friendly_Unfriendly	unfriendly
A23NU	Female	Bachelors degree	English	22	Nonstand_Neg_Morph_Friendly_Unfriendly	3	Neg	Morph	Nonstand	Friendly	Unfriendly	a	Friendly_Unfriendly	unfriendly
AYCHP	Female	Bachelors degree	English	46	Nonstand_Neg_Morph_Friendly_Unfriendly	3	Neg	Morph	Nonstand	Friendly	Unfriendly	a	Friendly_Unfriendly	unfriendly
A2B3E	Male	Bachelors degree	English	31	Nonstand_Neg_Morph_Friendly_Unfriendly	5	Neg	Morph	Nonstand	Friendly	Unfriendly	a	Friendly_Unfriendly	unfriendly
A1WVL	Male	Bachelors degree	English	29	Nonstand_Neg_Morph_Friendly_Unfriendly	6	Neg	Morph	Nonstand	Friendly	Unfriendly	a	Friendly_Unfriendly	unfriendly
A2QBF	Male	Associates degree	English	38	Nonstand_Neg_Morph_Friendly_Unfriendly	5	Neg	Morph	Nonstand	Friendly	Unfriendly	a	Friendly_Unfriendly	unfriendly
A3KWA	Male	High School Graduate	English	31	Nonstand_Neg_Morph_Friendly_Unfriendly	6	Neg	Morph	Nonstand	Friendly	Unfriendly	a	Friendly_Unfriendly	unfriendly
AERTM	Male	Bachelors degree	english	30	Nonstand_Neg_Morph_Friendly_Unfriendly	4	Neg	Morph	Nonstand	Friendly	Unfriendly	a	Friendly_Unfriendly	unfriendly
A3EZ3	Male	High School Graduate	English	40	Nonstand_Neg_Morph_Friendly_Unfriendly	1	Neg	Morph	Nonstand	Friendly	Unfriendly	a	Friendly_Unfriendly	unfriendly
