Worker_ID	Gender	Education	Lang	Age	variable	value	polarity	person	politeness	complexity	item1	item2	item	list
A9ZCY	Female	Bachelors degree	english	38	Neg_High_F_Morph_Accurate_Inaccurate	1	Neg	F	High	Morph	Accurate	Inaccurate	Accurate_Inaccurate	a
A2MDF	Female	High School Graduate	English	38	Neg_High_F_Morph_Accurate_Inaccurate	5	Neg	F	High	Morph	Accurate	Inaccurate	Accurate_Inaccurate	a
A2XQ3	Female	Bachelors degree	english	55	Neg_High_F_Morph_Fair_Unfair	2	Neg	F	High	Morph	Fair	Unfair	Fair_Unfair	a
A2A0X	Male	Bachelors degree	English	51	Neg_High_F_Morph_Fair_Unfair	6	Neg	F	High	Morph	Fair	Unfair	Fair_Unfair	a
A1L39	Male	Bachelors degree	English	35	Neg_High_F_Morph_Fair_Unfair	6	Neg	F	High	Morph	Fair	Unfair	Fair_Unfair	a
A1DPS	Female	Associates degree	english	35	Neg_High_F_Morph_Fair_Unfair	6	Neg	F	High	Morph	Fair	Unfair	Fair_Unfair	a
A1V2H	Male	Some college, no degree	English	59	Neg_High_F_Morph_Fair_Unfair	4	Neg	F	High	Morph	Fair	Unfair	Fair_Unfair	a
A21RP	Female	Associates degree	English	57	Neg_High_F_Morph_Fair_Unfair	6	Neg	F	High	Morph	Fair	Unfair	Fair_Unfair	a
A3NN2	Male	Some college, no degree	english	58	Neg_High_F_Morph_Fair_Unfair	5	Neg	F	High	Morph	Fair	Unfair	Fair_Unfair	a
A2KPT	Male	High School Graduate	English	43	Neg_High_F_Morph_Fair_Unfair	7	Neg	F	High	Morph	Fair	Unfair	Fair_Unfair	a
A1L2N	Female	Associates degree	English	31	Neg_High_F_Morph_Fair_Unfair	5	Neg	F	High	Morph	Fair	Unfair	Fair_Unfair	a
A3U74	Male	High School Graduate	English	60	Neg_High_F_Morph_Fair_Unfair	6	Neg	F	High	Morph	Fair	Unfair	Fair_Unfair	a
A1F5E	Female	Some college, no degree	english	47	Neg_High_F_Morph_Fair_Unfair	7	Neg	F	High	Morph	Fair	Unfair	Fair_Unfair	a
A1JV6	Female	High School Graduate	english	40	Neg_High_F_Morph_Fair_Unfair	6	Neg	F	High	Morph	Fair	Unfair	Fair_Unfair	a
AMDPJ	Female	Bachelors degree	English	38	Neg_High_F_Morph_Fair_Unfair	7	Neg	F	High	Morph	Fair	Unfair	Fair_Unfair	a
A1US6	Male	Bachelors degree	English	34	Neg_High_F_Morph_Fair_Unfair	6	Neg	F	High	Morph	Fair	Unfair	Fair_Unfair	a
A25PF	Male	Bachelors degree	English	31	Neg_High_F_Morph_Fair_Unfair	4	Neg	F	High	Morph	Fair	Unfair	Fair_Unfair	a
A3N3G	Male	Some college, no degree	English	45	Neg_High_F_Morph_Fair_Unfair	4	Neg	F	High	Morph	Fair	Unfair	Fair_Unfair	a
A1DS5	Male	Bachelors degree	English	41	Neg_High_F_Morph_Fair_Unfair	5	Neg	F	High	Morph	Fair	Unfair	Fair_Unfair	a
A20FT	Male	Associates degree	English	33	Neg_High_F_Morph_Fair_Unfair	6	Neg	F	High	Morph	Fair	Unfair	Fair_Unfair	a
A1N2O	Female	Bachelors degree	English	30	Neg_High_F_Morph_Fair_Unfair	6	Neg	F	High	Morph	Fair	Unfair	Fair_Unfair	a
AEIIV	Female	Bachelors degree	English	33	Neg_High_F_Morph_Fair_Unfair	7	Neg	F	High	Morph	Fair	Unfair	Fair_Unfair	a
A1ZB2	Female	Bachelors degree	English	24	Neg_High_F_Morph_Fair_Unfair	5	Neg	F	High	Morph	Fair	Unfair	Fair_Unfair	a
A1KQV	Female	High School Graduate	ENGLISH	33	Neg_High_F_Morph_Fair_Unfair	6	Neg	F	High	Morph	Fair	Unfair	Fair_Unfair	a
A1ZTS	Male	Graduate degree (Masters, Doctorate, etc.)	English	35	Neg_High_F_Morph_Fair_Unfair	4	Neg	F	High	Morph	Fair	Unfair	Fair_Unfair	a
ARYVM	Female	Associates degree	English	22	Neg_High_F_Morph_Fair_Unfair	4	Neg	F	High	Morph	Fair	Unfair	Fair_Unfair	a
A3U2U	Female	Bachelors degree	English	56	Neg_High_F_Morph_Fair_Unfair	5	Neg	F	High	Morph	Fair	Unfair	Fair_Unfair	a
A9ZCY	Female	Bachelors degree	english	38	Neg_High_F_Morph_Fair_Unfair	1	Neg	F	High	Morph	Fair	Unfair	Fair_Unfair	a
A2MDF	Female	High School Graduate	English	38	Neg_High_F_Morph_Fair_Unfair	5	Neg	F	High	Morph	Fair	Unfair	Fair_Unfair	a
A2XQ3	Female	Bachelors degree	english	55	Neg_High_F_Morph_Friendly_Unfriendly	5	Neg	F	High	Morph	Friendly	Unfriendly	Friendly_Unfriendly	a
A2A0X	Male	Bachelors degree	English	51	Neg_High_F_Morph_Friendly_Unfriendly	5	Neg	F	High	Morph	Friendly	Unfriendly	Friendly_Unfriendly	a
A1L39	Male	Bachelors degree	English	35	Neg_High_F_Morph_Friendly_Unfriendly	6	Neg	F	High	Morph	Friendly	Unfriendly	Friendly_Unfriendly	a
A1DPS	Female	Associates degree	english	35	Neg_High_F_Morph_Friendly_Unfriendly	1	Neg	F	High	Morph	Friendly	Unfriendly	Friendly_Unfriendly	a
A1V2H	Male	Some college, no degree	English	59	Neg_High_F_Morph_Friendly_Unfriendly	4	Neg	F	High	Morph	Friendly	Unfriendly	Friendly_Unfriendly	a
A21RP	Female	Associates degree	English	57	Neg_High_F_Morph_Friendly_Unfriendly	6	Neg	F	High	Morph	Friendly	Unfriendly	Friendly_Unfriendly	a
A3NN2	Male	Some college, no degree	english	58	Neg_High_F_Morph_Friendly_Unfriendly	6	Neg	F	High	Morph	Friendly	Unfriendly	Friendly_Unfriendly	a
A2KPT	Male	High School Graduate	English	43	Neg_High_F_Morph_Friendly_Unfriendly	6	Neg	F	High	Morph	Friendly	Unfriendly	Friendly_Unfriendly	a
A1L2N	Female	Associates degree	English	31	Neg_High_F_Morph_Friendly_Unfriendly	4	Neg	F	High	Morph	Friendly	Unfriendly	Friendly_Unfriendly	a
A3U74	Male	High School Graduate	English	60	Neg_High_F_Morph_Friendly_Unfriendly	4	Neg	F	High	Morph	Friendly	Unfriendly	Friendly_Unfriendly	a
A1F5E	Female	Some college, no degree	english	47	Neg_High_F_Morph_Friendly_Unfriendly	6	Neg	F	High	Morph	Friendly	Unfriendly	Friendly_Unfriendly	a
A1JV6	Female	High School Graduate	english	40	Neg_High_F_Morph_Friendly_Unfriendly	5	Neg	F	High	Morph	Friendly	Unfriendly	Friendly_Unfriendly	a
AMDPJ	Female	Bachelors degree	English	38	Neg_High_F_Morph_Friendly_Unfriendly	7	Neg	F	High	Morph	Friendly	Unfriendly	Friendly_Unfriendly	a
A1US6	Male	Bachelors degree	English	34	Neg_High_F_Morph_Friendly_Unfriendly	6	Neg	F	High	Morph	Friendly	Unfriendly	Friendly_Unfriendly	a
A25PF	Male	Bachelors degree	English	31	Neg_High_F_Morph_Friendly_Unfriendly	4	Neg	F	High	Morph	Friendly	Unfriendly	Friendly_Unfriendly	a
A3N3G	Male	Some college, no degree	English	45	Neg_High_F_Morph_Friendly_Unfriendly	4	Neg	F	High	Morph	Friendly	Unfriendly	Friendly_Unfriendly	a
A1DS5	Male	Bachelors degree	English	41	Neg_High_F_Morph_Friendly_Unfriendly	4	Neg	F	High	Morph	Friendly	Unfriendly	Friendly_Unfriendly	a
A20FT	Male	Associates degree	English	33	Neg_High_F_Morph_Friendly_Unfriendly	6	Neg	F	High	Morph	Friendly	Unfriendly	Friendly_Unfriendly	a
A1N2O	Female	Bachelors degree	English	30	Neg_High_F_Morph_Friendly_Unfriendly	7	Neg	F	High	Morph	Friendly	Unfriendly	Friendly_Unfriendly	a
AEIIV	Female	Bachelors degree	English	33	Neg_High_F_Morph_Friendly_Unfriendly	7	Neg	F	High	Morph	Friendly	Unfriendly	Friendly_Unfriendly	a
A1ZB2	Female	Bachelors degree	English	24	Neg_High_F_Morph_Friendly_Unfriendly	4	Neg	F	High	Morph	Friendly	Unfriendly	Friendly_Unfriendly	a
A1KQV	Female	High School Graduate	ENGLISH	33	Neg_High_F_Morph_Friendly_Unfriendly	7	Neg	F	High	Morph	Friendly	Unfriendly	Friendly_Unfriendly	a
A1ZTS	Male	Graduate degree (Masters, Doctorate, etc.)	English	35	Neg_High_F_Morph_Friendly_Unfriendly	4	Neg	F	High	Morph	Friendly	Unfriendly	Friendly_Unfriendly	a
ARYVM	Female	Associates degree	English	22	Neg_High_F_Morph_Friendly_Unfriendly	4	Neg	F	High	Morph	Friendly	Unfriendly	Friendly_Unfriendly	a
A3U2U	Female	Bachelors degree	English	56	Neg_High_F_Morph_Friendly_Unfriendly	5	Neg	F	High	Morph	Friendly	Unfriendly	Friendly_Unfriendly	a
A9ZCY	Female	Bachelors degree	english	38	Neg_High_F_Morph_Friendly_Unfriendly	6	Neg	F	High	Morph	Friendly	Unfriendly	Friendly_Unfriendly	a
A2MDF	Female	High School Graduate	English	38	Neg_High_F_Morph_Friendly_Unfriendly	5	Neg	F	High	Morph	Friendly	Unfriendly	Friendly_Unfriendly	a
A2XQ3	Female	Bachelors degree	english	55	Neg_High_F_Morph_Happy_Unhappy	5	Neg	F	High	Morph	Happy	Unhappy	Happy_Unhappy	a
A2A0X	Male	Bachelors degree	English	51	Neg_High_F_Morph_Happy_Unhappy	5	Neg	F	High	Morph	Happy	Unhappy	Happy_Unhappy	a
A1L39	Male	Bachelors degree	English	35	Neg_High_F_Morph_Happy_Unhappy	6	Neg	F	High	Morph	Happy	Unhappy	Happy_Unhappy	a
A1DPS	Female	Associates degree	english	35	Neg_High_F_Morph_Happy_Unhappy	2	Neg	F	High	Morph	Happy	Unhappy	Happy_Unhappy	a
A1V2H	Male	Some college, no degree	English	59	Neg_High_F_Morph_Happy_Unhappy	4	Neg	F	High	Morph	Happy	Unhappy	Happy_Unhappy	a
A21RP	Female	Associates degree	English	57	Neg_High_F_Morph_Happy_Unhappy	6	Neg	F	High	Morph	Happy	Unhappy	Happy_Unhappy	a
A3NN2	Male	Some college, no degree	english	58	Neg_High_F_Morph_Happy_Unhappy	6	Neg	F	High	Morph	Happy	Unhappy	Happy_Unhappy	a
A2KPT	Male	High School Graduate	English	43	Neg_High_F_Morph_Happy_Unhappy	6	Neg	F	High	Morph	Happy	Unhappy	Happy_Unhappy	a
A1L2N	Female	Associates degree	English	31	Neg_High_F_Morph_Happy_Unhappy	5	Neg	F	High	Morph	Happy	Unhappy	Happy_Unhappy	a
A3U74	Male	High School Graduate	English	60	Neg_High_F_Morph_Happy_Unhappy	4	Neg	F	High	Morph	Happy	Unhappy	Happy_Unhappy	a
A1F5E	Female	Some college, no degree	english	47	Neg_High_F_Morph_Happy_Unhappy	5	Neg	F	High	Morph	Happy	Unhappy	Happy_Unhappy	a
A1JV6	Female	High School Graduate	english	40	Neg_High_F_Morph_Happy_Unhappy	5	Neg	F	High	Morph	Happy	Unhappy	Happy_Unhappy	a
AMDPJ	Female	Bachelors degree	English	38	Neg_High_F_Morph_Happy_Unhappy	7	Neg	F	High	Morph	Happy	Unhappy	Happy_Unhappy	a
A1US6	Male	Bachelors degree	English	34	Neg_High_F_Morph_Happy_Unhappy	6	Neg	F	High	Morph	Happy	Unhappy	Happy_Unhappy	a
A25PF	Male	Bachelors degree	English	31	Neg_High_F_Morph_Happy_Unhappy	4	Neg	F	High	Morph	Happy	Unhappy	Happy_Unhappy	a
A3N3G	Male	Some college, no degree	English	45	Neg_High_F_Morph_Happy_Unhappy	4	Neg	F	High	Morph	Happy	Unhappy	Happy_Unhappy	a
A1DS5	Male	Bachelors degree	English	41	Neg_High_F_Morph_Happy_Unhappy	4	Neg	F	High	Morph	Happy	Unhappy	Happy_Unhappy	a
A20FT	Male	Associates degree	English	33	Neg_High_F_Morph_Happy_Unhappy	5	Neg	F	High	Morph	Happy	Unhappy	Happy_Unhappy	a
A1N2O	Female	Bachelors degree	English	30	Neg_High_F_Morph_Happy_Unhappy	6	Neg	F	High	Morph	Happy	Unhappy	Happy_Unhappy	a
AEIIV	Female	Bachelors degree	English	33	Neg_High_F_Morph_Happy_Unhappy	7	Neg	F	High	Morph	Happy	Unhappy	Happy_Unhappy	a
A1ZB2	Female	Bachelors degree	English	24	Neg_High_F_Morph_Happy_Unhappy	4	Neg	F	High	Morph	Happy	Unhappy	Happy_Unhappy	a
A1KQV	Female	High School Graduate	ENGLISH	33	Neg_High_F_Morph_Happy_Unhappy	6	Neg	F	High	Morph	Happy	Unhappy	Happy_Unhappy	a
A1ZTS	Male	Graduate degree (Masters, Doctorate, etc.)	English	35	Neg_High_F_Morph_Happy_Unhappy	4	Neg	F	High	Morph	Happy	Unhappy	Happy_Unhappy	a
ARYVM	Female	Associates degree	English	22	Neg_High_F_Morph_Happy_Unhappy	4	Neg	F	High	Morph	Happy	Unhappy	Happy_Unhappy	a
A3U2U	Female	Bachelors degree	English	56	Neg_High_F_Morph_Happy_Unhappy	6	Neg	F	High	Morph	Happy	Unhappy	Happy_Unhappy	a
A9ZCY	Female	Bachelors degree	english	38	Neg_High_F_Morph_Happy_Unhappy	6	Neg	F	High	Morph	Happy	Unhappy	Happy_Unhappy	a
A2MDF	Female	High School Graduate	English	38	Neg_High_F_Morph_Happy_Unhappy	1	Neg	F	High	Morph	Happy	Unhappy	Happy_Unhappy	a
A2XQ3	Female	Bachelors degree	english	55	Neg_High_F_Morph_Interesting_Uninteresting	5	Neg	F	High	Morph	Interesting	Uninteresting	Interesting_Uninteresting	a
A2A0X	Male	Bachelors degree	English	51	Neg_High_F_Morph_Interesting_Uninteresting	5	Neg	F	High	Morph	Interesting	Uninteresting	Interesting_Uninteresting	a
A1L39	Male	Bachelors degree	English	35	Neg_High_F_Morph_Interesting_Uninteresting	6	Neg	F	High	Morph	Interesting	Uninteresting	Interesting_Uninteresting	a
A1DPS	Female	Associates degree	english	35	Neg_High_F_Morph_Interesting_Uninteresting	4	Neg	F	High	Morph	Interesting	Uninteresting	Interesting_Uninteresting	a
A1V2H	Male	Some college, no degree	English	59	Neg_High_F_Morph_Interesting_Uninteresting	5	Neg	F	High	Morph	Interesting	Uninteresting	Interesting_Uninteresting	a
A21RP	Female	Associates degree	English	57	Neg_High_F_Morph_Interesting_Uninteresting	6	Neg	F	High	Morph	Interesting	Uninteresting	Interesting_Uninteresting	a
A3NN2	Male	Some college, no degree	english	58	Neg_High_F_Morph_Interesting_Uninteresting	6	Neg	F	High	Morph	Interesting	Uninteresting	Interesting_Uninteresting	a
A2KPT	Male	High School Graduate	English	43	Neg_High_F_Morph_Interesting_Uninteresting	6	Neg	F	High	Morph	Interesting	Uninteresting	Interesting_Uninteresting	a
A1L2N	Female	Associates degree	English	31	Neg_High_F_Morph_Interesting_Uninteresting	4	Neg	F	High	Morph	Interesting	Uninteresting	Interesting_Uninteresting	a
A3U74	Male	High School Graduate	English	60	Neg_High_F_Morph_Interesting_Uninteresting	5	Neg	F	High	Morph	Interesting	Uninteresting	Interesting_Uninteresting	a
A1F5E	Female	Some college, no degree	english	47	Neg_High_F_Morph_Interesting_Uninteresting	7	Neg	F	High	Morph	Interesting	Uninteresting	Interesting_Uninteresting	a
A1JV6	Female	High School Graduate	english	40	Neg_High_F_Morph_Interesting_Uninteresting	6	Neg	F	High	Morph	Interesting	Uninteresting	Interesting_Uninteresting	a
AMDPJ	Female	Bachelors degree	English	38	Neg_High_F_Morph_Interesting_Uninteresting	7	Neg	F	High	Morph	Interesting	Uninteresting	Interesting_Uninteresting	a
A1US6	Male	Bachelors degree	English	34	Neg_High_F_Morph_Interesting_Uninteresting	6	Neg	F	High	Morph	Interesting	Uninteresting	Interesting_Uninteresting	a
A25PF	Male	Bachelors degree	English	31	Neg_High_F_Morph_Interesting_Uninteresting	4	Neg	F	High	Morph	Interesting	Uninteresting	Interesting_Uninteresting	a
A3N3G	Male	Some college, no degree	English	45	Neg_High_F_Morph_Interesting_Uninteresting	4	Neg	F	High	Morph	Interesting	Uninteresting	Interesting_Uninteresting	a
A1DS5	Male	Bachelors degree	English	41	Neg_High_F_Morph_Interesting_Uninteresting	4	Neg	F	High	Morph	Interesting	Uninteresting	Interesting_Uninteresting	a
A20FT	Male	Associates degree	English	33	Neg_High_F_Morph_Interesting_Uninteresting	3	Neg	F	High	Morph	Interesting	Uninteresting	Interesting_Uninteresting	a
A1N2O	Female	Bachelors degree	English	30	Neg_High_F_Morph_Interesting_Uninteresting	6	Neg	F	High	Morph	Interesting	Uninteresting	Interesting_Uninteresting	a
AEIIV	Female	Bachelors degree	English	33	Neg_High_F_Morph_Interesting_Uninteresting	7	Neg	F	High	Morph	Interesting	Uninteresting	Interesting_Uninteresting	a
A1ZB2	Female	Bachelors degree	English	24	Neg_High_F_Morph_Interesting_Uninteresting	4	Neg	F	High	Morph	Interesting	Uninteresting	Interesting_Uninteresting	a
A1KQV	Female	High School Graduate	ENGLISH	33	Neg_High_F_Morph_Interesting_Uninteresting	6	Neg	F	High	Morph	Interesting	Uninteresting	Interesting_Uninteresting	a
A1ZTS	Male	Graduate degree (Masters, Doctorate, etc.)	English	35	Neg_High_F_Morph_Interesting_Uninteresting	4	Neg	F	High	Morph	Interesting	Uninteresting	Interesting_Uninteresting	a
ARYVM	Female	Associates degree	English	22	Neg_High_F_Morph_Interesting_Uninteresting	4	Neg	F	High	Morph	Interesting	Uninteresting	Interesting_Uninteresting	a
A3U2U	Female	Bachelors degree	English	56	Neg_High_F_Morph_Interesting_Uninteresting	5	Neg	F	High	Morph	Interesting	Uninteresting	Interesting_Uninteresting	a
A9ZCY	Female	Bachelors degree	english	38	Neg_High_F_Morph_Interesting_Uninteresting	1	Neg	F	High	Morph	Interesting	Uninteresting	Interesting_Uninteresting	a
A2MDF	Female	High School Graduate	English	38	Neg_High_F_Morph_Interesting_Uninteresting	4	Neg	F	High	Morph	Interesting	Uninteresting	Interesting_Uninteresting	a
A2XQ3	Female	Bachelors degree	english	55	Neg_High_F_Morph_Lucky_Unlucky	3	Neg	F	High	Morph	Lucky	Unlucky	Lucky_Unlucky	a
A2A0X	Male	Bachelors degree	English	51	Neg_High_F_Morph_Lucky_Unlucky	6	Neg	F	High	Morph	Lucky	Unlucky	Lucky_Unlucky	a
A1L39	Male	Bachelors degree	English	35	Neg_High_F_Morph_Lucky_Unlucky	6	Neg	F	High	Morph	Lucky	Unlucky	Lucky_Unlucky	a
A1DPS	Female	Associates degree	english	35	Neg_High_F_Morph_Lucky_Unlucky	6	Neg	F	High	Morph	Lucky	Unlucky	Lucky_Unlucky	a
A1V2H	Male	Some college, no degree	English	59	Neg_High_F_Morph_Lucky_Unlucky	4	Neg	F	High	Morph	Lucky	Unlucky	Lucky_Unlucky	a
A21RP	Female	Associates degree	English	57	Neg_High_F_Morph_Lucky_Unlucky	6	Neg	F	High	Morph	Lucky	Unlucky	Lucky_Unlucky	a
A3NN2	Male	Some college, no degree	english	58	Neg_High_F_Morph_Lucky_Unlucky	6	Neg	F	High	Morph	Lucky	Unlucky	Lucky_Unlucky	a
A2KPT	Male	High School Graduate	English	43	Neg_High_F_Morph_Lucky_Unlucky	5	Neg	F	High	Morph	Lucky	Unlucky	Lucky_Unlucky	a
A1L2N	Female	Associates degree	English	31	Neg_High_F_Morph_Lucky_Unlucky	5	Neg	F	High	Morph	Lucky	Unlucky	Lucky_Unlucky	a
A3U74	Male	High School Graduate	English	60	Neg_High_F_Morph_Lucky_Unlucky	6	Neg	F	High	Morph	Lucky	Unlucky	Lucky_Unlucky	a
A1F5E	Female	Some college, no degree	english	47	Neg_High_F_Morph_Lucky_Unlucky	7	Neg	F	High	Morph	Lucky	Unlucky	Lucky_Unlucky	a
A1JV6	Female	High School Graduate	english	40	Neg_High_F_Morph_Lucky_Unlucky	5	Neg	F	High	Morph	Lucky	Unlucky	Lucky_Unlucky	a
AMDPJ	Female	Bachelors degree	English	38	Neg_High_F_Morph_Lucky_Unlucky	7	Neg	F	High	Morph	Lucky	Unlucky	Lucky_Unlucky	a
A1US6	Male	Bachelors degree	English	34	Neg_High_F_Morph_Lucky_Unlucky	6	Neg	F	High	Morph	Lucky	Unlucky	Lucky_Unlucky	a
A25PF	Male	Bachelors degree	English	31	Neg_High_F_Morph_Lucky_Unlucky	4	Neg	F	High	Morph	Lucky	Unlucky	Lucky_Unlucky	a
A3N3G	Male	Some college, no degree	English	45	Neg_High_F_Morph_Lucky_Unlucky	5	Neg	F	High	Morph	Lucky	Unlucky	Lucky_Unlucky	a
A1DS5	Male	Bachelors degree	English	41	Neg_High_F_Morph_Lucky_Unlucky	4	Neg	F	High	Morph	Lucky	Unlucky	Lucky_Unlucky	a
A20FT	Male	Associates degree	English	33	Neg_High_F_Morph_Lucky_Unlucky	5	Neg	F	High	Morph	Lucky	Unlucky	Lucky_Unlucky	a
A1N2O	Female	Bachelors degree	English	30	Neg_High_F_Morph_Lucky_Unlucky	2	Neg	F	High	Morph	Lucky	Unlucky	Lucky_Unlucky	a
AEIIV	Female	Bachelors degree	English	33	Neg_High_F_Morph_Lucky_Unlucky	7	Neg	F	High	Morph	Lucky	Unlucky	Lucky_Unlucky	a
A1ZB2	Female	Bachelors degree	English	24	Neg_High_F_Morph_Lucky_Unlucky	5	Neg	F	High	Morph	Lucky	Unlucky	Lucky_Unlucky	a
A1KQV	Female	High School Graduate	ENGLISH	33	Neg_High_F_Morph_Lucky_Unlucky	7	Neg	F	High	Morph	Lucky	Unlucky	Lucky_Unlucky	a
A1ZTS	Male	Graduate degree (Masters, Doctorate, etc.)	English	35	Neg_High_F_Morph_Lucky_Unlucky	4	Neg	F	High	Morph	Lucky	Unlucky	Lucky_Unlucky	a
ARYVM	Female	Associates degree	English	22	Neg_High_F_Morph_Lucky_Unlucky	4	Neg	F	High	Morph	Lucky	Unlucky	Lucky_Unlucky	a
A3U2U	Female	Bachelors degree	English	56	Neg_High_F_Morph_Lucky_Unlucky	5	Neg	F	High	Morph	Lucky	Unlucky	Lucky_Unlucky	a
A9ZCY	Female	Bachelors degree	english	38	Neg_High_F_Morph_Lucky_Unlucky	1	Neg	F	High	Morph	Lucky	Unlucky	Lucky_Unlucky	a
A2MDF	Female	High School Graduate	English	38	Neg_High_F_Morph_Lucky_Unlucky	4	Neg	F	High	Morph	Lucky	Unlucky	Lucky_Unlucky	a
A2XQ3	Female	Bachelors degree	english	55	Neg_High_F_Morph_Polite_Impolite	2	Neg	F	High	Morph	Polite	Impolite	Polite_Impolite	a
A2A0X	Male	Bachelors degree	English	51	Neg_High_F_Morph_Polite_Impolite	6	Neg	F	High	Morph	Polite	Impolite	Polite_Impolite	a
A1L39	Male	Bachelors degree	English	35	Neg_High_F_Morph_Polite_Impolite	6	Neg	F	High	Morph	Polite	Impolite	Polite_Impolite	a
A1DPS	Female	Associates degree	english	35	Neg_High_F_Morph_Polite_Impolite	5	Neg	F	High	Morph	Polite	Impolite	Polite_Impolite	a
A1V2H	Male	Some college, no degree	English	59	Neg_High_F_Morph_Polite_Impolite	3	Neg	F	High	Morph	Polite	Impolite	Polite_Impolite	a
A21RP	Female	Associates degree	English	57	Neg_High_F_Morph_Polite_Impolite	6	Neg	F	High	Morph	Polite	Impolite	Polite_Impolite	a
A3NN2	Male	Some college, no degree	english	58	Neg_High_F_Morph_Polite_Impolite	6	Neg	F	High	Morph	Polite	Impolite	Polite_Impolite	a
