	condition	predicate	response	slide_number	language	enjoyment	age	gender	education	participant_id	negated	valence	adjective
14	NPositive	not polite	0.25	17	ENGLISH	2	31	Male	4	7	true	positive	polite
15	NNegative	not impossible	0.33	18	ENGLISH	2	31	Male	4	7	true	negative	impossible
16	NNegative	not unhappy	0.28	19	ENGLISH	2	31	Male	4	7	true	negative	unhappy
17	NNegative	not frustrating	0.3	20	ENGLISH	2	31	Male	4	7	true	negative	frustrating
18	positive	good	0.45	21	ENGLISH	2	31	Male	4	7	false	positive	good
19	positive	happy	0.5	22	ENGLISH	2	31	Male	4	7	false	positive	happy
0	NPositive	not happy	0.94	3	English 	2	25	Male	2	8	true	positive	happy
1	positive	rich	0.52	4	English 	2	25	Male	2	8	false	positive	rich
2	positive	possible	0.3	5	English 	2	25	Male	2	8	false	positive	possible
3	positive	fair	0.49	6	English 	2	25	Male	2	8	false	positive	fair
4	NPositive	not certain	0.68	7	English 	2	25	Male	2	8	true	positive	certain
5	NPositive	not useful	0.11	8	English 	2	25	Male	2	8	true	positive	useful
6	NNegative	not unfriendly	0.48	9	English 	2	25	Male	2	8	true	negative	unfriendly
7	NNegative	not mean	0.47	10	English 	2	25	Male	2	8	true	negative	mean
8	positive	long	0.61	11	English 	2	25	Male	2	8	false	positive	long
9	NNegative	not rude	0.56	12	English 	2	25	Male	2	8	true	negative	rude
10	positive	good	0.7	13	English 	2	25	Male	2	8	false	positive	good
11	NPositive	not polite	0.91	14	English 	2	25	Male	2	8	true	positive	polite
12	NNegative	not inaccurate	0.15	15	English 	2	25	Male	2	8	true	negative	inaccurate
13	positive	satisfactory	0.45	16	English 	2	25	Male	2	8	false	positive	satisfactory
14	negative	unlucky	0.55	17	English 	2	25	Male	2	8	false	negative	unlucky
15	NNegative	not uninteresting	0.6	18	English 	2	25	Male	2	8	true	negative	uninteresting
16	NNegative	not unhappy	0.51	19	English 	2	25	Male	2	8	true	negative	unhappy
17	NPositive	not tall	0.93	20	English 	2	25	Male	2	8	true	positive	tall
18	positive	strong	0.61	21	English 	2	25	Male	2	8	false	positive	strong
19	NPositive	not satisfactory	0.5	22	English 	2	25	Male	2	8	true	positive	satisfactory
0	negative	uninteresting	0.7	3	English	2	33	Male	4	9	false	negative	uninteresting
1	NPositive	not friendly	0.82	4	English	2	33	Male	4	9	true	positive	friendly
2	negative	bad	0.56	5	English	2	33	Male	4	9	false	negative	bad
3	NPositive	not polite	0.69	6	English	2	33	Male	4	9	true	positive	polite
4	negative	unlucky	0.69	7	English	2	33	Male	4	9	false	negative	unlucky
5	positive	useful	0.63	8	English	2	33	Male	4	9	false	positive	useful
6	negative	unfair	0.66	9	English	2	33	Male	4	9	false	negative	unfair
7	negative	uncertain	0.27	10	English	2	33	Male	4	9	false	negative	uncertain
8	negative	sad	0.71	11	English	2	33	Male	4	9	false	negative	sad
9	NPositive	not satisfactory	0.82	12	English	2	33	Male	4	9	true	positive	satisfactory
10	negative	weak	0.43	13	English	2	33	Male	4	9	false	negative	weak
11	positive	accurate	0.16	14	English	2	33	Male	4	9	false	positive	accurate
12	NNegative	not impossible	0.56	15	English	2	33	Male	4	9	true	negative	impossible
13	positive	tall	0.12	16	English	2	33	Male	4	9	false	positive	tall
14	NPositive	not polite	0.82	17	English	2	33	Male	4	9	true	positive	polite
15	positive	long	0.17	18	English	2	33	Male	4	9	false	positive	long
16	negative	mean	0.7	19	English	2	33	Male	4	9	false	negative	mean
17	positive	happy	0.74	20	English	2	33	Male	4	9	false	positive	happy
18	NPositive	not satisfactory	0.6	21	English	2	33	Male	4	9	true	positive	satisfactory
19	positive	rich	0.35	22	English	2	33	Male	4	9	false	positive	rich
0	negative	unhappy	0.01	3	English	2	31	Male	4	10	false	negative	unhappy
1	negative	inaccurate	0.03	4	English	2	31	Male	4	10	false	negative	inaccurate
2	NPositive	not strong	0.98	5	English	2	31	Male	4	10	true	positive	strong
3	positive	certain	0.02	6	English	2	31	Male	4	10	false	positive	certain
4	NPositive	not fair	0.96	7	English	2	31	Male	4	10	true	positive	fair
5	positive	satisfactory	0.98	8	English	2	31	Male	4	10	false	positive	satisfactory
6	negative	short	0.95	9	English	2	31	Male	4	10	false	negative	short
7	NPositive	not possible	0.01	10	English	2	31	Male	4	10	true	positive	possible
8	negative	unlucky	0.0	11	English	2	31	Male	4	10	false	negative	unlucky
9	NNegative	not mean	0.02	12	English	2	31	Male	4	10	true	negative	mean
10	NPositive	not interesting	0.03	13	English	2	31	Male	4	10	true	positive	interesting
11	positive	friendly	0.99	14	English	2	31	Male	4	10	false	positive	friendly
12	negative	sad	0.98	15	English	2	31	Male	4	10	false	negative	sad
13	negative	short	0.97	16	English	2	31	Male	4	10	false	negative	short
14	NPositive	not polite	0.01	17	English	2	31	Male	4	10	true	positive	polite
15	NPositive	not satisfactory	0.03	18	English	2	31	Male	4	10	true	positive	satisfactory
16	positive	useful	0.97	19	English	2	31	Male	4	10	false	positive	useful
17	negative	bad	0.95	20	English	2	31	Male	4	10	false	negative	bad
18	NNegative	not impolite	0.01	21	English	2	31	Male	4	10	true	negative	impolite
19	negative	poor	0.96	22	English	2	31	Male	4	10	false	negative	poor
0	NPositive	not happy	0.0	3	English	2	41	Female	4	11	true	positive	happy
1	positive	friendly	1.0	4	English	2	41	Female	4	11	false	positive	friendly
2	negative	unlucky	0.0	5	English	2	41	Female	4	11	false	negative	unlucky
3	negative	bad	0.0	6	English	2	41	Female	4	11	false	negative	bad
4	NPositive	not polite	0.0	7	English	2	41	Female	4	11	true	positive	polite
5	NNegative	not short	1.0	8	English	2	41	Female	4	11	true	negative	short
6	NPositive	not fair	0.56	9	English	2	41	Female	4	11	true	positive	fair
7	NNegative	not weak	0.49	10	English	2	41	Female	4	11	true	negative	weak
8	NPositive	not rich	0.5	11	English	2	41	Female	4	11	true	positive	rich
9	positive	useful	1.0	12	English	2	41	Female	4	11	false	positive	useful
10	positive	satisfactory	1.0	13	English	2	41	Female	4	11	false	positive	satisfactory
11	NPositive	not certain	0.48	14	English	2	41	Female	4	11	true	positive	certain
12	NNegative	not unsatisfactory	0.51	15	English	2	41	Female	4	11	true	negative	unsatisfactory
13	NNegative	not impossible	0.53	16	English	2	41	Female	4	11	true	negative	impossible
14	NPositive	not interesting	0.49	17	English	2	41	Female	4	11	true	positive	interesting
15	NNegative	not short	0.49	18	English	2	41	Female	4	11	true	negative	short
16	NNegative	not mean	0.5	19	English	2	41	Female	4	11	true	negative	mean
17	negative	inaccurate	0.48	20	English	2	41	Female	4	11	false	negative	inaccurate
18	negative	unhappy	0.49	21	English	2	41	Female	4	11	false	negative	unhappy
19	NPositive	not polite	0.49	22	English	2	41	Female	4	11	true	positive	polite
0	negative	sad	0.98	3	English	1	48	Female	4	12	false	negative	sad
1	NNegative	not impolite	0.35	4	English	1	48	Female	4	12	true	negative	impolite
2	negative	unsatisfactory	0.41	5	English	1	48	Female	4	12	false	negative	unsatisfactory
3	negative	uninteresting	0.95	6	English	1	48	Female	4	12	false	negative	uninteresting
4	negative	unlucky	0.86	7	English	1	48	Female	4	12	false	negative	unlucky
5	NPositive	not certain	0.41	8	English	1	48	Female	4	12	true	positive	certain
6	NPositive	not fair	0.35	9	English	1	48	Female	4	12	true	positive	fair
7	NNegative	not unhappy	0.95	10	English	1	48	Female	4	12	true	negative	unhappy
8	positive	polite	0.4	11	English	1	48	Female	4	12	false	positive	polite
9	positive	long	0.52	12	English	1	48	Female	4	12	false	positive	long
10	positive	strong	0.51	13	English	1	48	Female	4	12	false	positive	strong
11	NPositive	not possible	0.35	14	English	1	48	Female	4	12	true	positive	possible
12	positive	accurate	0.58	15	English	1	48	Female	4	12	false	positive	accurate
13	NNegative	not short	0.5	16	English	1	48	Female	4	12	true	negative	short
14	NNegative	not unfriendly	0.5	17	English	1	48	Female	4	12	true	negative	unfriendly
15	NNegative	not frustrating	0.49	18	English	1	48	Female	4	12	true	negative	frustrating
16	positive	good	0.68	19	English	1	48	Female	4	12	false	positive	good
17	NNegative	not mean	0.71	20	English	1	48	Female	4	12	true	negative	mean
18	NNegative	not poor	0.25	21	English	1	48	Female	4	12	true	negative	poor
19	NNegative	not useless	0.33	22	English	1	48	Female	4	12	true	negative	useless
0	NPositive	not interesting	0.79	3	ENGLISH	1		Male	3	13	true	positive	interesting
1	NPositive	not happy	1.0	4	ENGLISH	1		Male	3	13	true	positive	happy
2	NPositive	not satisfactory	0.23	5	ENGLISH	1		Male	3	13	true	positive	satisfactory
3	NNegative	not mean	0.2	6	ENGLISH	1		Male	3	13	true	negative	mean
4	positive	good	1.0	7	ENGLISH	1		Male	3	13	false	positive	good
5	negative	unfair	0.94	8	ENGLISH	1		Male	3	13	false	negative	unfair
6	negative	unlucky	0.91	9	ENGLISH	1		Male	3	13	false	negative	unlucky
7	negative	poor	1.0	10	ENGLISH	1		Male	3	13	false	negative	poor
8	positive	tall	0.31	11	ENGLISH	1		Male	3	13	false	positive	tall
9	NPositive	not long	0.1	12	ENGLISH	1		Male	3	13	true	positive	long
10	positive	strong	0.55	13	ENGLISH	1		Male	3	13	false	positive	strong
11	negative	inaccurate	0.62	14	ENGLISH	1		Male	3	13	false	negative	inaccurate
12	negative	useless	0.78	15	ENGLISH	1		Male	3	13	false	negative	useless
13	negative	uncertain	0.25	16	ENGLISH	1		Male	3	13	false	negative	uncertain
14	NNegative	not rude	0.52	17	ENGLISH	1		Male	3	13	true	negative	rude
15	NPositive	not possible	0.53	18	ENGLISH	1		Male	3	13	true	positive	possible
16	negative	sad	0.92	19	ENGLISH	1		Male	3	13	false	negative	sad
17	NNegative	not unfriendly	0.86	20	ENGLISH	1		Male	3	13	true	negative	unfriendly
18	NNegative	not unsatisfactory	0.17	21	ENGLISH	1		Male	3	13	true	negative	unsatisfactory
19	positive	polite	0.99	22	ENGLISH	1		Male	3	13	false	positive	polite
0	negative	impossible	0.02	3	English	1	39	Female	2	14	false	negative	impossible
1	NNegative	not mean	0.09	4	English	1	39	Female	2	14	true	negative	mean
2	NPositive	not long	0.12	5	English	1	39	Female	2	14	true	positive	long
3	negative	bad	0.14	6	English	1	39	Female	2	14	false	negative	bad
4	negative	short	0.17	7	English	1	39	Female	2	14	false	negative	short
5	NPositive	not friendly	0.1	8	English	1	39	Female	2	14	true	positive	friendly
6	NPositive	not happy	0.06	9	English	1	39	Female	2	14	true	positive	happy
7	positive	accurate	0.74	10	English	1	39	Female	2	14	false	positive	accurate
8	NPositive	not useful	0.34	11	English	1	39	Female	2	14	true	positive	useful
9	positive	satisfactory	0.1	12	English	1	39	Female	2	14	false	positive	satisfactory
10	NPositive	not satisfactory	0.08	13	English	1	39	Female	2	14	true	positive	satisfactory
11	NNegative	not uninteresting	0.06	14	English	1	39	Female	2	14	true	negative	uninteresting
12	NPositive	not strong	0.11	15	English	1	39	Female	2	14	true	positive	strong
13	NNegative	not rude	0.07	16	English	1	39	Female	2	14	true	negative	rude
14	NNegative	not unfair	0.12	17	English	1	39	Female	2	14	true	negative	unfair
15	NNegative	not poor	0.11	18	English	1	39	Female	2	14	true	negative	poor
16	NPositive	not certain	0.47	19	English	1	39	Female	2	14	true	positive	certain
17	positive	happy	0.07	20	English	1	39	Female	2	14	false	positive	happy
18	NPositive	not lucky	0.11	21	English	1	39	Female	2	14	true	positive	lucky
19	positive	polite	0.12	22	English	1	39	Female	2	14	false	positive	polite
0	positive	polite	0.66	3	English 	2	68	Male	4	15	false	positive	polite
1	NPositive	not happy	0.03	4	English 	2	68	Male	4	15	true	positive	happy
2	NNegative	not uninteresting	0.98	5	English 	2	68	Male	4	15	true	negative	uninteresting
3	negative	unfriendly	0.68	6	English 	2	68	Male	4	15	false	negative	unfriendly
4	NNegative	not frustrating	0.98	7	English 	2	68	Male	4	15	true	negative	frustrating
5	positive	lucky	0.55	8	English 	2	68	Male	4	15	false	positive	lucky
6	NPositive	not tall	0.22	9	English 	2	68	Male	4	15	true	positive	tall
7	positive	kind	0.76	10	English 	2	68	Male	4	15	false	positive	kind
8	negative	unfair	0.91	11	English 	2	68	Male	4	15	false	negative	unfair
9	NPositive	not possible	0.33	12	English 	2	68	Male	4	15	true	positive	possible
10	NNegative	not impolite	0.68	13	English 	2	68	Male	4	15	true	negative	impolite
11	NPositive	not satisfactory	0.98	14	English 	2	68	Male	4	15	true	positive	satisfactory
12	NNegative	not useless	0.17	15	English 	2	68	Male	4	15	true	negative	useless
13	positive	long	0.07	16	English 	2	68	Male	4	15	false	positive	long
14	NPositive	not strong	0.11	17	English 	2	68	Male	4	15	true	positive	strong
15	positive	happy	0.91	18	English 	2	68	Male	4	15	false	positive	happy
16	NPositive	not rich	0.2	19	English 	2	68	Male	4	15	true	positive	rich
17	positive	good	0.92	20	English 	2	68	Male	4	15	false	positive	good
18	NNegative	not inaccurate	0.04	21	English 	2	68	Male	4	15	true	negative	inaccurate
19	negative	uncertain	0.48	22	English 	2	68	Male	4	15	false	negative	uncertain
0	NPositive	not tall	0.94	3	English 	2	33	Female	3	16	true	positive	tall
1	NNegative	not impolite	0.59	4	English 	2	33	Female	3	16	true	negative	impolite
2	negative	weak	0.97	5	English 	2	33	Female	3	16	false	negative	weak
3	negative	useless	0.1	6	English 	2	33	Female	3	16	false	negative	useless
4	positive	satisfactory	0.91	7	English 	2	33	Female	3	16	false	positive	satisfactory
5	negative	unlucky	0.24	8	English 	2	33	Female	3	16	false	negative	unlucky
6	NPositive	not possible	0.26	9	English 	2	33	Female	3	16	true	positive	possible
7	positive	certain	0.38	10	English 	2	33	Female	3	16	false	positive	certain
8	NPositive	not long	0.61	11	English 	2	33	Female	3	16	true	positive	long
9	positive	happy	0.84	12	English 	2	33	Female	3	16	false	positive	happy
10	negative	uninteresting	0.8	13	English 	2	33	Female	3	16	false	negative	uninteresting
11	NPositive	not good	0.82	14	English 	2	33	Female	3	16	true	positive	good
12	NPositive	not happy	0.88	15	English 	2	33	Female	3	16	true	positive	happy
13	NNegative	not inaccurate	0.18	16	English 	2	33	Female	3	16	true	negative	inaccurate
14	positive	satisfactory	0.92	17	English 	2	33	Female	3	16	false	positive	satisfactory
15	negative	mean	0.77	18	English 	2	33	Female	3	16	false	negative	mean
16	NPositive	not polite	0.86	19	English 	2	33	Female	3	16	true	positive	polite
17	NNegative	not unfriendly	0.75	20	English 	2	33	Female	3	16	true	negative	unfriendly
18	NPositive	not fair	0.36	21	English 	2	33	Female	3	16	true	positive	fair
19	positive	rich	0.21	22	English 	2	33	Female	3	16	false	positive	rich
0	negative	unfair	0.46	3	english	2	28	Male	3	17	false	negative	unfair
1	negative	useless	0.67	4	english	2	28	Male	3	17	false	negative	useless
2	NNegative	not inaccurate	0.71	5	english	2	28	Male	3	17	true	negative	inaccurate
3	positive	interesting	0.69	6	english	2	28	Male	3	17	false	positive	interesting
4	negative	unsatisfactory	0.63	7	english	2	28	Male	3	17	false	negative	unsatisfactory
5	positive	kind	0.86	8	english	2	28	Male	3	17	false	positive	kind
6	positive	polite	1.0	9	english	2	28	Male	3	17	false	positive	polite
7	NPositive	not lucky	0.95	10	english	2	28	Male	3	17	true	positive	lucky
8	NPositive	not good	0.88	11	english	2	28	Male	3	17	true	positive	good
9	NPositive	not rich	0.21	12	english	2	28	Male	3	17	true	positive	rich
10	NPositive	not polite	0.24	13	english	2	28	Male	3	17	true	positive	polite
11	NNegative	not short	0.1	14	english	2	28	Male	3	17	true	negative	short
12	negative	weak	0.81	15	english	2	28	Male	3	17	false	negative	weak
13	NNegative	not uncertain	0.89	16	english	2	28	Male	3	17	true	negative	uncertain
14	NPositive	not possible	0.86	17	english	2	28	Male	3	17	true	positive	possible
15	NNegative	not short	0.87	18	english	2	28	Male	3	17	true	negative	short
16	NNegative	not sad	0.93	19	english	2	28	Male	3	17	true	negative	sad
17	positive	satisfactory	0.07	20	english	2	28	Male	3	17	false	positive	satisfactory
18	NPositive	not friendly	0.92	21	english	2	28	Male	3	17	true	positive	friendly
19	NPositive	not happy	0.9	22	english	2	28	Male	3	17	true	positive	happy
0	NPositive	not long	0.64	3	English	1	28	Male	4	18	true	positive	long
1	positive	polite	1.0	4	English	1	28	Male	4	18	false	positive	polite
2	positive	lucky	0.09	5	English	1	28	Male	4	18	false	positive	lucky
3	positive	accurate	0.09	6	English	1	28	Male	4	18	false	positive	accurate
4	negative	useless	0.48	7	English	1	28	Male	4	18	false	negative	useless
5	NPositive	not happy	0.95	8	English	1	28	Male	4	18	true	positive	happy
6	NNegative	not mean	0.89	9	English	1	28	Male	4	18	true	negative	mean
7	negative	sad	0.95	10	English	1	28	Male	4	18	false	negative	sad
8	negative	weak	0.71	11	English	1	28	Male	4	18	false	negative	weak
9	positive	fair	0.11	12	English	1	28	Male	4	18	false	positive	fair
10	positive	good	0.32	13	English	1	28	Male	4	18	false	positive	good
11	NNegative	not frustrating	0.87	14	English	1	28	Male	4	18	true	negative	frustrating
12	negative	impolite	0.85	15	English	1	28	Male	4	18	false	negative	impolite
13	negative	impossible	0.18	16	English	1	28	Male	4	18	false	negative	impossible
14	NNegative	not uncertain	0.27	17	English	1	28	Male	4	18	true	negative	uncertain
15	positive	rich	0.83	18	English	1	28	Male	4	18	false	positive	rich
16	NPositive	not friendly	0.87	19	English	1	28	Male	4	18	true	positive	friendly
17	NNegative	not short	0.17	20	English	1	28	Male	4	18	true	negative	short
18	NPositive	not interesting	0.16	21	English	1	28	Male	4	18	true	positive	interesting
19	positive	satisfactory	0.82	22	English	1	28	Male	4	18	false	positive	satisfactory
0	NPositive	not happy	1.0	3	English	2	39	Female	2	19	true	positive	happy
1	NPositive	not interesting	1.0	4	English	2	39	Female	2	19	true	positive	interesting
2	positive	lucky	1.0	5	English	2	39	Female	2	19	false	positive	lucky
3	NNegative	not unfair	0.4	6	English	2	39	Female	2	19	true	negative	unfair
4	NPositive	not tall	0.22	7	English	2	39	Female	2	19	true	positive	tall
5	NNegative	not bad	0.6	8	English	2	39	Female	2	19	true	negative	bad
6	NNegative	not poor	0.61	9	English	2	39	Female	2	19	true	negative	poor
7	negative	frustrating	1.0	10	English	2	39	Female	2	19	false	negative	frustrating
8	NNegative	not unsatisfactory	0.31	11	English	2	39	Female	2	19	true	negative	unsatisfactory
9	NNegative	not impossible	0.41	12	English	2	39	Female	2	19	true	negative	impossible
10	NPositive	not long	0.17	13	English	2	39	Female	2	19	true	positive	long
11	NNegative	not inaccurate	0.06	14	English	2	39	Female	2	19	true	negative	inaccurate
12	NNegative	not weak	0.26	15	English	2	39	Female	2	19	true	negative	weak
13	positive	happy	0.98	16	English	2	39	Female	2	19	false	positive	happy
14	negative	mean	1.0	17	English	2	39	Female	2	19	false	negative	mean
15	NNegative	not unfriendly	0.85	18	English	2	39	Female	2	19	true	negative	unfriendly
16	NNegative	not rude	0.77	19	English	2	39	Female	2	19	true	negative	rude
17	negative	impolite	0.62	20	English	2	39	Female	2	19	false	negative	impolite
18	negative	uncertain	0.29	21	English	2	39	Female	2	19	false	negative	uncertain
19	NPositive	not useful	0.18	22	English	2	39	Female	2	19	true	positive	useful
0	positive	interesting	0.84	3	English	1	44	Male	3	20	false	positive	interesting
1	NPositive	not happy	0.17	4	English	1	44	Male	3	20	true	positive	happy
2	positive	possible	0.75	5	English	1	44	Male	3	20	false	positive	possible
3	NPositive	not rich	0.66	6	English	1	44	Male	3	20	true	positive	rich
4	negative	unlucky	0.29	7	English	1	44	Male	3	20	false	negative	unlucky
5	positive	happy	0.81	8	English	1	44	Male	3	20	false	positive	happy
6	negative	useless	0.93	9	English	1	44	Male	3	20	false	negative	useless
7	NPositive	not fair	0.19	10	English	1	44	Male	3	20	true	positive	fair
8	NNegative	not uncertain	0.97	11	English	1	44	Male	3	20	true	negative	uncertain
9	negative	unfriendly	0.89	12	English	1	44	Male	3	20	false	negative	unfriendly
10	positive	polite	0.82	13	English	1	44	Male	3	20	false	positive	polite
11	negative	inaccurate	0.61	14	English	1	44	Male	3	20	false	negative	inaccurate
12	positive	strong	0.89	15	English	1	44	Male	3	20	false	positive	strong
13	NPositive	not satisfactory	0.21	16	English	1	44	Male	3	20	true	positive	satisfactory
14	NPositive	not good	0.88	17	English	1	44	Male	3	20	true	positive	good
15	NPositive	not long	0.71	18	English	1	44	Male	3	20	true	positive	long
16	NPositive	not tall	0.64	19	English	1	44	Male	3	20	true	positive	tall
17	positive	kind	0.62	20	English	1	44	Male	3	20	false	positive	kind
18	NPositive	not satisfactory	0.51	21	English	1	44	Male	3	20	true	positive	satisfactory
19	NNegative	not impolite	0.6	22	English	1	44	Male	3	20	true	negative	impolite
0	negative	uncertain	0.85	3	english	1	28	Female	4	21	false	negative	uncertain
1	NPositive	not polite	0.59	4	english	1	28	Female	4	21	true	positive	polite
2	negative	frustrating	0.13	5	english	1	28	Female	4	21	false	negative	frustrating
3	NPositive	not happy	0.72	6	english	1	28	Female	4	21	true	positive	happy
4	NPositive	not interesting	1.0	7	english	1	28	Female	4	21	true	positive	interesting
5	NPositive	not tall	0.65	8	english	1	28	Female	4	21	true	positive	tall
6	NNegative	not unfriendly	0.09	9	english	1	28	Female	4	21	true	negative	unfriendly
7	NPositive	not satisfactory	1.0	10	english	1	28	Female	4	21	true	positive	satisfactory
8	negative	unfair	0.24	11	english	1	28	Female	4	21	false	negative	unfair
9	NNegative	not inaccurate	0.86	12	english	1	28	Female	4	21	true	negative	inaccurate
10	NNegative	not bad	1.0	13	english	1	28	Female	4	21	true	negative	bad
11	negative	weak	1.0	14	english	1	28	Female	4	21	false	negative	weak
12	NNegative	not poor	0.0	15	english	1	28	Female	4	21	true	negative	poor
13	negative	rude	0.93	16	english	1	28	Female	4	21	false	negative	rude
14	negative	unlucky	0.75	17	english	1	28	Female	4	21	false	negative	unlucky
15	NNegative	not mean	0.94	18	english	1	28	Female	4	21	true	negative	mean
16	positive	possible	1.0	19	english	1	28	Female	4	21	false	positive	possible
17	NPositive	not useful	0.69	20	english	1	28	Female	4	21	true	positive	useful
18	negative	unhappy	0.4	21	english	1	28	Female	4	21	false	negative	unhappy
19	NPositive	not long	1.0	22	english	1	28	Female	4	21	true	positive	long
0	NPositive	not possible	0.47	3	English Language	2	31	Male	3	22	true	positive	possible
1	NPositive	not good	0.57	4	English Language	2	31	Male	3	22	true	positive	good
2	negative	poor	0.94	5	English Language	2	31	Male	3	22	false	negative	poor
3	negative	mean	0.9	6	English Language	2	31	Male	3	22	false	negative	mean
4	NNegative	not unsatisfactory	0.48	7	English Language	2	31	Male	3	22	true	negative	unsatisfactory
5	negative	sad	0.96	8	English Language	2	31	Male	3	22	false	negative	sad
6	NPositive	not polite	0.46	9	English Language	2	31	Male	3	22	true	positive	polite
7	positive	strong	0.93	10	English Language	2	31	Male	3	22	false	positive	strong
8	positive	happy	0.97	11	English Language	2	31	Male	3	22	false	positive	happy
9	NNegative	not uninteresting	0.55	12	English Language	2	31	Male	3	22	true	negative	uninteresting
10	NPositive	not accurate	0.41	13	English Language	2	31	Male	3	22	true	positive	accurate
11	NNegative	not uncertain	0.44	14	English Language	2	31	Male	3	22	true	negative	uncertain
12	positive	tall	0.96	15	English Language	2	31	Male	3	22	false	positive	tall
13	negative	unfair	0.38	16	English Language	2	31	Male	3	22	false	negative	unfair
14	NPositive	not polite	0.56	17	English Language	2	31	Male	3	22	true	positive	polite
15	NPositive	not lucky	0.65	18	English Language	2	31	Male	3	22	true	positive	lucky
16	negative	unfriendly	0.8	19	English Language	2	31	Male	3	22	false	negative	unfriendly
17	negative	frustrating	0.39	20	English Language	2	31	Male	3	22	false	negative	frustrating
18	NNegative	not short	0.51	21	English Language	2	31	Male	3	22	true	negative	short
19	NPositive	not useful	0.55	22	English Language	2	31	Male	3	22	true	positive	useful
0	NNegative	not short	0.25	3	english	1	25	Male	3	23	true	negative	short
1	positive	useful	0.81	4	english	1	25	Male	3	23	false	positive	useful
